time,control,value
0.0000,LeftStickX,0.0000
0.0000,LeftStickY,0.0000
0.0000,RightStickX,0.0000
0.0000,RightStickY,0.0000
0.0000,LeftTrigger,0.0000
0.0000,RightTrigger,0.0000
0.0000,DPadUp,0.0000
0.0000,DPadDown,0.0000
0.0000,DPadLeft,0.0000
0.0000,DPadRight,0.0000
0.0000,Cross,0.0000
0.0000,Circle,0.0000
0.0000,Square,0.0000
0.0000,Triangle,0.0000
0.0000,L1,0.0000
0.0000,R1,0.0000
0.0000,L3,0.0000
0.0000,R3,0.0000
0.0000,Options,0.0000
0.0000,Share,0.0000
2.1804,Options,1.0000
2.4086,Options,0.0000
4.0356,DPadUp,1.0000
4.1683,DPadUp,0.0000
5.8895,DPadLeft,1.0000
6.0744,DPadLeft,0.0000
7.5670,DPadDown,1.0000
7.7484,DPadDown,0.0000
8.8902,DPadRight,1.0000
9.0750,DPadRight,0.0000
