time,x,z,rotY,speed
0.0000,11.4918,20.0421,269.7309,0.0000
0.1270,11.4918,20.0421,269.7309,0.0000
0.2516,11.4918,20.0421,269.7309,0.0000
0.3739,11.4918,20.0421,269.7310,0.0000
0.4965,11.4918,20.0421,269.7309,0.0000
0.6206,11.4918,20.0421,269.7309,0.0000
0.7441,11.4918,20.0421,269.7309,0.0000
0.8673,11.4918,20.0421,269.7308,0.0000
0.9879,11.4918,20.0547,269.7256,0.1047
1.1092,11.4913,20.0762,269.7164,0.1772
1.2298,11.4914,20.0977,269.7029,0.1782
1.3586,11.4909,20.1222,269.6854,0.1903
1.4827,11.4900,20.1431,269.6698,0.1687
1.6059,11.4904,20.1638,269.6564,0.1682
1.7264,11.4896,20.1847,269.6315,0.1735
1.8475,11.4896,20.2019,269.5837,0.1432
1.9674,11.4891,20.2179,269.5815,0.1369
2.0885,11.4886,20.2350,269.5839,0.1430
2.2100,11.4886,20.2540,269.5868,0.1566
2.3301,11.4882,20.2742,269.5905,0.1684
2.4523,11.4878,20.2983,269.5986,0.1970
2.5743,11.4881,20.3191,269.6009,0.1707
2.6957,11.4874,20.3397,269.6127,0.1697
2.8173,11.4873,20.3604,269.6154,0.1705
2.9386,11.4873,20.3811,269.6222,0.1700
3.0589,11.4865,20.4015,269.6425,0.1701
3.1799,11.4868,20.4221,269.6524,0.1705
3.3005,11.4863,20.4427,269.6639,0.1711
3.4230,11.4856,20.4633,269.6747,0.1681
3.5458,11.4860,20.4842,269.6868,0.1698
3.6659,11.4854,20.5046,269.7010,0.1701
3.7869,11.4853,20.5250,269.7190,0.1688
3.9076,11.4851,20.5459,269.7335,0.1735
4.0276,11.4842,20.5666,269.7578,0.1725
4.1488,11.4840,20.5879,269.7833,0.1762
4.2697,11.4834,20.6116,269.8028,0.1962
4.3927,11.4827,20.6414,269.8306,0.2461
4.5156,11.4832,20.6638,269.8344,0.1830
4.6371,11.4836,20.6843,269.8391,0.1693
4.7579,11.4831,20.7051,269.8444,0.1717
4.8792,11.4827,20.7257,269.8497,0.1701
5.0049,11.4828,20.7464,269.8545,0.1647
5.1390,11.4824,20.7704,269.8555,0.1792
5.5172,11.4802,20.8364,269.9958,0.1745
5.6585,11.4799,20.8604,269.9772,0.1702
5.7823,11.4802,20.8813,269.9543,0.1691
5.9046,11.4798,20.9018,269.9355,0.1678
6.0250,11.4797,20.9226,269.9161,0.1724
6.1465,11.4798,20.9434,269.9068,0.1712
6.2680,11.4793,20.9640,269.8860,0.1701
6.3903,11.4795,20.9846,269.8660,0.1686
6.5118,11.4794,21.0088,269.8486,0.1986
6.6431,11.4789,21.0294,269.8315,0.1570
6.7701,11.4788,21.0500,269.8050,0.1621
6.8950,11.4788,21.0744,269.7778,0.1958
7.0211,11.4780,21.0952,269.7467,0.1646
7.1478,11.4782,21.1354,269.7179,0.3172
7.2828,11.4773,21.1869,269.6742,0.3853
7.4123,11.4773,21.2371,269.6472,0.3886
7.5424,11.4762,21.2982,269.6289,0.4696
7.6743,11.4762,21.3705,269.6070,0.5482
7.8120,11.4758,21.4431,269.5912,0.5269
7.9336,11.4750,21.5109,269.5742,0.5577
8.0549,11.4743,21.5884,269.5936,0.6408
8.1824,11.4740,21.6676,269.5781,0.6226
8.3044,11.4707,21.7501,269.5705,0.6765
8.4250,11.4710,21.8446,269.5689,0.7836
8.5525,11.4698,21.9663,269.5575,0.9545
8.6765,11.4691,22.0693,269.5446,0.8302
8.8005,11.4679,22.1734,269.5499,0.8402
8.9287,11.4674,22.2768,269.5165,0.8064
9.0607,11.4661,22.3974,269.5115,0.9138
9.1892,11.4659,22.5005,269.4849,0.8031
9.3176,11.4648,22.6333,269.4631,1.0338
9.4488,11.4634,22.7585,269.4613,0.9548
9.5729,11.4629,22.9031,269.4441,1.1647
9.6977,11.4609,23.0271,269.4752,0.9936
9.8226,11.4594,23.1514,269.3883,0.9954
9.9441,11.4572,23.2761,269.3602,1.0263
10.0654,11.4560,23.4121,269.3799,1.1213
10.1888,11.4547,23.5570,269.3921,1.1739
10.3145,11.4528,23.7270,269.3846,1.3538
10.4378,11.4516,23.8725,269.3952,1.1799
10.5604,11.4498,24.0174,269.3841,1.1818
10.6816,11.4478,24.1629,269.3734,1.1999
10.8039,11.4472,24.3085,269.3942,1.1916
10.9245,11.4440,24.4537,269.3859,1.2042
11.0482,11.4444,24.5991,269.3836,1.1752
11.1707,11.4429,24.7691,269.3817,1.3874
11.2927,11.4400,24.9141,269.3771,1.1886
11.4136,11.4398,25.0590,269.3775,1.1989
11.5366,11.4372,25.2039,269.3850,1.1784
11.6570,11.4355,25.3505,269.3659,1.2173
11.7829,11.4347,25.4955,269.3615,1.1514
11.9101,11.4329,25.6408,269.3608,1.1433
12.0328,11.4304,25.8112,269.3712,1.3882
12.1538,11.4291,25.9557,269.3743,1.1949
12.2751,11.4279,26.1018,269.3770,1.2048
12.3967,11.4266,26.2469,269.4105,1.1923
12.5198,11.4247,26.3915,269.4079,1.1757
12.6414,11.4229,26.5364,269.4180,1.1914
12.7635,11.4217,26.6815,269.4124,1.1882
12.8853,11.4213,26.8265,269.4254,1.1909
13.0067,11.4187,26.9721,269.4434,1.1997
13.1295,11.4174,27.1175,269.4377,1.1843
13.2538,11.4159,27.2861,269.4241,1.3556
13.3754,11.4152,27.4318,269.8022,1.1983
13.4980,11.4187,27.5762,272.2110,1.1783
13.6214,11.4256,27.7206,272.9096,1.1715
13.7441,11.4334,27.8663,272.9488,1.1886
13.8655,11.4401,28.0112,272.9628,1.1956
13.9867,11.4492,28.1566,272.9716,1.2019
14.1096,11.4555,28.3020,272.9696,1.1844
14.2325,11.4629,28.4692,273.0074,1.3613
14.3534,11.4645,28.6104,273.1868,1.1696
14.4747,11.4696,28.7504,273.3342,1.1549
14.5975,11.4752,28.8913,273.1398,1.1494
14.7194,11.4886,29.0354,274.2244,1.1877
14.8435,11.5020,29.1771,276.2244,1.1466
14.9671,11.5129,29.3212,276.3341,1.1690
15.0894,11.5286,29.4674,276.3361,1.2032
15.2181,11.5385,29.6379,276.3329,1.3298
15.3425,11.5526,29.7997,276.4026,1.3052
15.4641,11.5764,29.9540,276.5955,1.2837
15.5854,11.6013,30.0903,276.8484,1.1451
15.7066,11.6137,30.2200,276.8386,1.0849
15.8320,11.6213,30.3750,276.8849,1.2409
15.9550,11.6413,30.5343,276.8125,1.3060
16.0794,11.6674,30.6726,276.3493,1.1331
16.2007,11.6747,30.8081,276.4911,1.1226
16.3221,11.6861,30.9469,276.9033,1.1486
16.4435,11.6973,31.0943,276.9223,1.2283
16.5661,11.7112,31.2433,276.7781,1.2347
16.6876,11.7400,31.3826,276.6859,1.1744
16.8096,11.7681,31.5351,276.6483,1.2903
16.9348,11.7849,31.7137,277.8248,1.4335
17.0561,11.7998,31.8313,280.5452,0.9868
17.1775,11.8061,31.9511,281.0191,1.0092
17.3026,11.8327,32.0968,280.9389,1.1880
17.4238,11.8872,32.2589,280.7975,1.4151
17.5451,11.9061,32.3675,280.8107,0.9214
17.6669,11.9398,32.4840,283.1674,0.9989
17.7906,11.9857,32.6701,289.0848,1.5509
17.9157,12.0544,32.8061,289.4011,1.2249
18.0408,12.0991,32.9240,289.2778,1.0109
18.1672,12.1311,33.0620,289.4462,1.1210
18.2935,12.1824,33.2597,289.3808,1.6196
18.4177,12.2289,33.4128,289.1840,1.2899
18.5458,12.2783,33.5419,289.3469,1.0811
18.6713,12.3420,33.6971,289.7796,1.3367
18.7976,12.3980,33.8428,289.7848,1.2381
18.9226,12.4474,33.9783,289.8009,1.1549
19.0470,12.5076,34.0999,289.7659,1.0906
19.1704,12.5531,34.2112,289.5607,0.9803
19.3122,12.6023,34.3831,290.3932,1.2609
19.4374,12.6719,34.5430,295.5834,1.4014
19.5591,12.7381,34.6811,297.7166,1.2592
19.6848,12.8184,34.7846,297.4822,1.0433
19.8154,12.8913,34.8983,297.3918,1.0696
19.9407,12.9812,35.0018,297.0372,1.1029
20.0650,13.0696,35.1596,297.6554,1.4647
20.1906,13.1139,35.3551,299.1655,1.6487
20.3133,13.1525,35.5137,300.8013,1.3726
20.4377,13.2305,35.6396,301.3945,1.1907
20.5658,13.2948,35.7647,301.8383,1.1188
20.6993,13.3660,35.9257,301.2191,1.3219
20.8270,13.4109,36.0323,300.4803,0.9154
20.9491,13.4636,36.1172,295.8098,0.8414
21.0715,13.5302,36.2530,291.3727,1.2496
21.1955,13.5786,36.3681,291.6477,1.0102
21.3196,13.6118,36.4959,291.8794,1.0678
21.4425,13.6574,36.6432,292.3979,1.2549
21.5659,13.7033,36.7510,294.9053,0.9587
21.6878,13.7315,36.8422,296.8376,0.8396
21.8174,13.7840,36.9794,296.9672,1.1359
21.9416,13.8690,37.1206,296.4131,1.3270
22.0670,13.9444,37.2610,296.3149,1.2722
22.1956,14.0241,37.4178,296.4574,1.3693
22.3183,14.1014,37.5513,296.8035,1.2574
22.4451,14.1902,37.6945,296.6301,1.3489
22.5764,14.2583,37.8566,296.8613,1.3597
22.7008,14.3248,37.9791,297.2202,1.1205
22.8296,14.3971,38.1049,297.4709,1.1271
22.9601,14.4833,38.2531,297.5751,1.3141
23.0855,14.5604,38.3809,297.7755,1.1919
23.2128,14.6460,38.5230,298.0797,1.3051
23.3428,14.7038,38.6609,298.2114,1.1523
23.4701,14.7729,38.7949,297.7731,1.1837
23.5989,14.8570,38.9542,297.4875,1.4030
23.7241,14.9308,39.1049,297.6238,1.3585
23.8496,15.0064,39.2344,297.4327,1.2003
23.9768,15.0791,39.3451,296.4342,1.0634
24.1064,15.1270,39.4466,296.3338,0.8961
24.2331,15.1959,39.5730,296.2166,1.1433
24.3635,15.2501,39.6958,296.2917,1.0305
24.4857,15.3079,39.8253,296.2581,1.1851
24.6088,15.3544,39.9702,296.0861,1.3148
