time,x,z,rotY,speed
0.0000,11.4923,20.0371,269.7156,0.0000
0.1310,11.4923,20.0372,269.7158,0.0007
0.2509,11.4922,20.0374,269.7158,0.0015
0.5612,11.4922,20.0378,269.7156,0.0016
0.6811,11.4922,20.0380,269.7157,0.0016
0.8025,11.4922,20.0382,269.7157,0.0017
0.9532,11.4922,20.0385,269.7156,0.0016
1.0649,11.4922,20.0387,269.7157,0.0020
1.1854,11.4922,20.0389,269.7156,0.0019
1.3041,11.4922,20.0392,269.7155,0.0020
1.5017,11.4922,20.0396,269.7156,0.0021
1.6318,11.4922,20.0399,269.7155,0.0020
1.7546,11.4921,20.0401,269.7155,0.0023
1.8760,11.4921,20.0405,269.7155,0.0028
1.9952,11.4921,20.0408,269.7155,0.0025
2.1149,11.4919,20.0410,269.7157,0.0030
2.2354,11.4919,20.0410,269.7157,0.0004
2.3546,11.4919,20.0409,269.7157,0.0003
2.4753,11.4919,20.0409,269.7156,0.0005
2.5967,11.4919,20.0408,269.7155,0.0005
2.7153,11.4919,20.0407,269.7155,0.0005
2.8364,11.4919,20.0407,269.7155,0.0006
2.9558,11.4920,20.0406,269.7155,0.0006
3.0802,11.4920,20.0405,269.7156,0.0006
3.2012,11.4920,20.0405,269.7156,0.0007
3.3248,11.4920,20.0404,269.7155,0.0007
3.4456,11.4920,20.0403,269.7155,0.0007
3.5709,11.4920,20.0402,269.7156,0.0007
3.6945,11.4920,20.0401,269.7155,0.0008
3.8172,11.4920,20.0400,269.7155,0.0009
3.9451,11.4920,20.0399,269.7155,0.0008
4.2696,11.4920,20.0396,269.7156,0.0009
4.3917,11.4921,20.0395,269.7155,0.0010
4.5169,11.4921,20.0393,269.7156,0.0012
4.6373,11.4921,20.0392,269.7155,0.0011
4.7571,11.4921,20.0390,269.7156,0.0012
5.1297,11.4921,20.0386,269.7155,0.0013
5.2516,11.4921,20.0384,269.7155,0.0014
5.3709,11.4922,20.0382,269.7155,0.0015
5.4912,11.4914,20.0505,269.6982,0.1028
5.6124,11.4922,20.1702,269.6689,0.9874
6.0257,11.4889,20.6335,269.6456,1.1211
6.1553,11.4876,20.7931,269.6898,1.2329
6.2756,11.4871,20.9256,269.7005,1.1014
6.3956,11.4863,21.0576,269.6992,1.0996
6.5147,11.4847,21.1690,269.7163,0.9372
6.9284,11.4835,21.6259,269.7263,1.1045
7.0560,11.4828,21.7803,269.7234,1.2097
7.1758,11.4827,21.9113,269.7240,1.0938
7.2964,11.4814,22.0430,269.7267,1.0925
7.4164,11.4808,22.1751,269.7324,1.1002
7.7897,11.4785,22.5710,269.7728,1.0606
7.9205,11.4768,22.7253,269.7511,1.1795
8.0404,11.4763,22.8571,269.7531,1.0998
8.1587,11.4758,22.9890,269.7452,1.1140
8.2784,11.4745,23.1201,269.7447,1.0959
8.6927,11.4736,23.5592,269.8271,1.0598
8.8218,11.4717,23.7130,269.8187,1.1912
8.9405,11.4721,23.8450,269.8065,1.1127
9.0586,11.4717,23.9767,269.7984,1.1155
9.1767,11.4706,24.1080,269.7853,1.1120
9.5899,11.4702,24.5460,269.7422,1.0598
9.7197,11.4686,24.6992,269.7386,1.1807
9.8373,11.4682,24.8311,269.7418,1.1215
9.9559,11.4676,24.9625,269.7402,1.1088
10.0774,11.4671,25.0942,269.7407,1.0831
10.4513,11.4660,25.4899,269.7395,1.0584
10.5822,11.4668,25.6426,269.7342,1.1664
10.7007,11.4655,25.7741,269.7348,1.1095
10.8198,11.4650,25.9051,269.8099,1.1007
10.9370,11.4637,26.0361,269.8082,1.1172
11.3502,11.4610,26.4764,269.7719,1.0657
11.4816,11.4612,26.6300,269.7765,1.1690
11.6003,11.4607,26.7623,269.7786,1.1147
11.7182,11.4603,26.8945,269.7772,1.1217
11.8380,11.4595,27.0270,269.7740,1.1051
12.2504,11.4567,27.4670,269.7786,1.0672
12.3826,11.4574,27.6211,269.7745,1.1648
12.5015,11.4567,27.7531,269.7681,1.1105
12.6202,11.4562,27.8852,269.7668,1.1129
12.7404,11.4556,28.0172,269.7689,1.0983
13.1132,11.4523,28.4115,269.7803,1.0578
13.2433,11.4496,28.5627,269.8280,1.1630
13.3622,11.4430,28.6887,269.9014,1.0619
13.4809,11.4378,28.8145,269.8999,1.0620
13.6006,11.4410,28.9492,269.8789,1.1260
14.0145,11.4398,29.3887,269.6385,1.0616
14.1450,11.4350,29.5380,269.7312,1.1487
14.2647,11.4274,29.6677,269.6344,1.0876
14.3861,11.4273,29.7976,269.4452,1.0719
14.5057,11.4396,29.9397,269.1376,1.1961
14.8788,11.4193,30.2993,270.0920,0.9745
15.0077,11.4255,30.4347,269.9847,1.0522
15.1276,11.4307,30.5865,269.8607,1.2666
15.2509,11.4443,30.7181,269.5922,1.0739
15.3715,11.4490,30.8363,269.6841,0.9807
15.7844,11.4107,31.3291,270.0536,1.1978
15.9168,11.4375,31.4686,270.0217,1.0746
16.0368,11.4586,31.5941,269.9675,1.0609
16.1577,11.4535,31.7252,270.0953,1.0852
16.2777,11.4247,31.8478,270.0722,1.0508
16.6509,11.4309,32.2366,269.9403,1.0427
16.7837,11.4418,32.3646,270.2310,0.9960
16.9066,11.4599,32.4737,270.0608,0.9154
17.0278,11.4541,32.5974,270.1753,1.0231
17.1511,11.4381,32.7417,270.5895,1.1772
17.5251,11.4804,33.1084,268.6213,0.9958
17.6563,11.4803,33.2491,268.3886,1.0940
17.7803,11.4552,33.3863,268.6033,1.1246
17.9018,11.4640,33.5414,268.4189,1.2788
18.0226,11.4795,33.6809,268.2795,1.1638
18.3967,11.4642,34.0914,268.2957,1.0988
18.5283,11.4738,34.2131,268.7912,0.9275
18.6502,11.4651,34.3397,269.0909,1.0406
18.7721,11.4390,34.4689,269.0435,1.0835
18.8923,11.4420,34.5954,268.5401,1.0533
19.2658,11.3888,35.0250,267.9941,1.1650
19.3949,11.3861,35.0517,267.9167,0.2140
19.5169,11.3862,35.0537,267.9176,0.0168
19.6385,11.3861,35.0554,267.9178,0.0141
19.7622,11.3860,35.0570,267.9222,0.0134
20.0955,11.3858,35.0612,267.9294,0.0127
20.2187,11.3858,35.0627,267.9288,0.0123
20.3435,11.3858,35.0640,267.9253,0.0102
20.4644,11.3858,35.0650,267.9267,0.0085
20.5865,11.3859,35.0658,267.9275,0.0060
20.9604,11.3860,35.0678,267.9306,0.0055
21.0820,11.3860,35.0685,267.9318,0.0057
21.2032,11.3861,35.0692,267.9323,0.0057
21.3251,11.3861,35.0698,267.9359,0.0054
21.4468,11.3861,35.0705,267.9327,0.0058
21.8200,11.3862,35.0723,267.9342,0.0048
21.9426,11.3863,35.0729,267.9361,0.0045
22.0633,11.3863,35.0734,267.9353,0.0043
22.1847,11.3863,35.0740,267.9362,0.0053
22.3062,11.3806,35.0819,267.8183,0.0805
22.6791,11.3779,35.0995,267.6920,0.0478
22.7997,11.4058,35.1535,271.6476,0.5096
22.9199,11.4088,35.1628,282.1311,0.0953
23.0414,11.4028,35.1645,290.0868,0.0582
23.1635,11.4028,35.1647,290.1891,0.0025
23.5795,11.4028,35.1647,290.1477,0.0001
23.7012,11.4028,35.1647,290.1414,0.0001
23.8226,11.4028,35.1647,290.1365,0.0000
23.9443,11.4028,35.1647,290.1327,0.0001
24.0661,11.4028,35.1647,290.1299,0.0000
24.4396,11.4028,35.1646,290.1245,0.0000
24.5625,11.4028,35.1646,290.1234,0.0000
24.6846,11.4028,35.1646,290.1229,0.0000
24.8082,11.4028,35.1646,290.1223,0.0000
24.9298,11.4028,35.1646,290.1218,0.0000
25.3030,11.4028,35.1646,290.1209,0.0000
25.4288,11.4028,35.1646,290.1208,0.0000
25.5518,11.4028,35.1646,290.1210,0.0000
25.6725,11.4028,35.1646,290.1209,0.0000
25.7933,11.4028,35.1646,290.1208,0.0000
26.2084,11.4028,35.1646,290.1209,0.0000
26.3317,11.4028,35.1646,290.1208,0.0000
26.4535,11.4028,35.1646,290.1209,0.0000
26.5764,11.4003,35.1608,289.7209,0.0376
26.6985,11.3959,35.1601,289.0714,0.0376
27.0729,11.3932,35.1602,288.9551,0.0073
27.1964,11.4477,35.2644,289.0519,0.9529
27.3168,11.5022,35.4044,289.2079,1.2497
27.4401,11.5443,35.5374,289.1939,1.1316
27.5611,11.5795,35.6647,288.7981,1.0927
27.9337,11.7203,36.0648,288.6709,1.1397
28.0689,11.8019,36.2207,289.0266,1.3277
28.2002,11.8277,36.2971,288.7091,0.6159
28.3220,11.8267,36.2963,288.7025,0.0113
28.4440,11.8267,36.2963,288.7024,0.0008
28.8580,11.8265,36.2960,288.7020,0.0007
28.9788,11.8265,36.2959,288.7020,0.0006
29.0996,11.8265,36.2959,288.7019,0.0005
29.2203,11.8265,36.2958,288.7019,0.0005
29.3430,11.8264,36.2958,288.7018,0.0005
29.7171,11.8264,36.2956,288.7017,0.0004
29.8392,11.8264,36.2956,288.7015,0.0004
29.9636,11.8263,36.2956,288.7015,0.0003
30.0841,11.8263,36.2955,288.7014,0.0003
30.2054,11.8263,36.2955,288.7011,0.0003
30.5786,11.8263,36.2954,288.7009,0.0003
30.7008,11.8263,36.2954,288.7009,0.0002
30.8232,11.8262,36.2954,288.7009,0.0002
30.9457,11.8262,36.2953,288.7009,0.0002
31.0685,11.8262,36.2953,288.7007,0.0002
31.4420,11.8262,36.2953,288.7006,0.0002
31.5632,11.8262,36.2952,288.7006,0.0001
31.6851,11.8208,36.2949,288.6275,0.0469
31.8065,11.8114,36.2951,288.2728,0.0797
31.9278,11.8054,36.2965,288.0450,0.0513
32.3015,11.8187,36.3107,290.0893,0.0522
32.4253,11.8179,36.3094,290.4162,0.0146
32.5484,11.8179,36.3095,290.4176,0.0003
32.6711,11.8179,36.3095,290.4164,0.0000
32.7925,11.8179,36.3095,290.4156,0.0000
33.2069,11.8178,36.3102,290.4645,0.0018
33.3279,11.8314,36.2915,292.1826,0.1917
33.4499,11.8366,36.2928,292.1840,0.0451
33.5707,11.8419,36.2971,292.1466,0.0575
33.6932,11.8418,36.2970,292.1484,0.0006
34.0665,11.8417,36.2967,292.1477,0.0009
34.1921,11.8417,36.2966,292.1475,0.0009
34.3147,11.8416,36.2965,292.1473,0.0010
34.4350,11.8416,36.2964,292.1471,0.0009
34.5583,11.8416,36.2963,292.1468,0.0010
34.9321,11.8414,36.2960,292.1462,0.0008
35.0543,11.8414,36.2959,292.1461,0.0008
35.1771,11.8413,36.2958,292.1458,0.0009
35.2985,11.8413,36.2957,292.1456,0.0008
35.4194,11.8413,36.2956,292.1453,0.0008
35.7929,11.8412,36.2953,292.1449,0.0007
35.9146,11.8411,36.2953,292.1447,0.0007
36.0356,11.8411,36.2952,292.1444,0.0009
36.1581,11.8411,36.2951,292.1437,0.0008
36.2801,11.8411,36.2953,292.1448,0.0016
36.6543,11.8414,36.2959,292.1461,0.0020
36.7785,11.8111,36.2860,290.7661,0.2643
36.9011,11.8036,36.2947,289.8370,0.0940
37.0244,11.8082,36.3036,295.7928,0.0838
37.1473,11.8329,36.3078,307.4951,0.2039
37.5612,11.8452,36.3082,313.2569,0.0340
37.6836,11.8940,36.3093,312.1733,0.3994
37.8061,11.9275,36.3293,310.6781,0.3295
37.9289,11.9347,36.3326,310.7316,0.0737
38.0525,11.9287,36.3330,310.6328,0.0717
38.4264,11.9278,36.3335,310.6331,0.0046
38.5487,11.9279,36.3335,310.6329,0.0006
38.6701,11.9279,36.3336,310.6331,0.0004
38.7933,11.9279,36.3336,310.6331,0.0002
38.9167,11.9279,36.3336,310.6333,0.0001
39.2909,11.9280,36.3336,310.6332,0.0000
