time,x,z,rotY,speed
0.0000,11.4921,20.0349,269.6932,0.0000
0.3333,11.4921,20.0355,269.6933,0.0019
0.4614,11.4921,20.0358,269.6932,0.0023
0.5896,11.4920,20.0361,269.6933,0.0021
0.7172,11.4920,20.0363,269.6933,0.0021
1.0923,11.4920,20.0373,269.6934,0.0025
1.1927,11.4920,20.0375,269.6934,0.0026
1.2931,11.4920,20.0378,269.6935,0.0027
1.4175,11.4920,20.0381,269.6935,0.0027
1.5464,11.4920,20.0385,269.6935,0.0032
1.9222,11.4918,20.0387,269.6934,0.0007
2.0537,11.4918,20.0387,269.6934,0.0000
2.1844,11.4918,20.0387,269.6933,0.0000
2.3125,11.4918,20.0387,269.6933,0.0000
2.6876,11.4918,20.0387,269.6934,0.0000
2.8258,11.4918,20.0387,269.6934,0.0000
2.9523,11.4918,20.0387,269.6933,0.0001
3.0816,11.4918,20.0387,269.6934,0.0001
3.4996,11.4918,20.0388,269.6934,0.0001
3.6285,11.4918,20.0388,269.6934,0.0001
3.7582,11.4918,20.0388,269.6933,0.0001
3.8859,11.4918,20.0388,269.6934,0.0001
4.2119,11.4918,20.0388,269.6934,0.0001
4.3491,11.4918,20.0388,269.6934,0.0001
4.4775,11.4918,20.0389,269.6934,0.0001
4.6052,11.4918,20.0389,269.6934,0.0001
5.0248,11.4918,20.0389,269.6934,0.0001
5.1530,11.4918,20.0597,269.6927,0.1622
5.2812,11.4913,20.0855,269.6812,0.2016
5.4088,11.4912,20.1287,269.6826,0.3379
5.7854,11.4899,20.2568,269.6825,0.3414
5.9271,11.4896,20.3466,269.6822,0.6333
6.0600,11.4890,20.4498,269.6820,0.7764
6.1893,11.4884,20.5519,269.6880,0.7895
6.6130,11.4853,20.9500,269.6269,0.9399
6.7505,11.4836,21.1008,269.6115,1.0977
6.8815,11.4823,21.2734,269.6153,1.3199
7.0108,11.4814,21.4277,269.5951,1.1931
7.3862,11.4788,21.9774,269.5452,1.4647
7.5251,11.4774,22.2209,269.5720,1.7539
7.6649,11.4751,22.4828,269.5696,1.8724
7.7933,11.4734,22.7064,269.5723,1.7425
8.2102,11.4693,23.4916,269.5957,1.8835
8.3467,11.4665,23.7539,269.5865,1.9204
8.4796,11.4651,24.0175,269.5872,1.9847
8.6048,11.4640,24.2403,269.5762,1.7789
9.0232,11.4584,25.0269,269.5265,1.8801
9.1605,11.4570,25.2894,269.5494,1.9119
9.2888,11.4540,25.5139,269.5345,1.7496
9.4139,11.4528,25.7400,269.5447,1.8082
9.7883,11.4480,26.4528,269.4589,1.9039
9.9257,11.4449,26.7133,269.4222,1.8962
10.0575,11.4431,26.9398,269.4231,1.7183
10.1859,11.4414,27.2017,269.4161,2.0398
10.5603,11.4357,27.9172,269.4607,1.9109
10.6972,11.4347,28.1396,269.4760,1.6249
10.8240,11.4310,28.3970,269.4873,2.0298
10.9511,11.4255,28.6125,269.6169,1.6964
11.3696,11.4063,29.3778,268.7682,1.8296
11.5064,11.3915,29.6307,268.8410,1.8582
11.6334,11.3855,29.8404,268.7194,1.6557
11.7608,11.3927,30.1054,268.8998,2.0831
12.1778,11.4052,30.7966,269.0879,1.6611
12.3142,11.3832,31.0500,269.6605,1.8682
12.4420,11.3608,31.3297,270.3442,2.1947
12.5718,11.4067,31.5391,269.9960,1.6533
12.9464,11.3883,32.2175,269.6410,1.8115
13.0836,11.4121,32.4156,268.7521,1.4954
13.2145,11.3864,32.5661,272.7732,1.1692
13.3443,11.3137,32.7852,283.0826,1.7795
13.7209,11.4620,33.2829,292.4231,1.3938
13.8594,11.5821,33.5159,292.2518,1.9148
13.9881,11.6389,33.7362,292.0716,1.7697
14.1190,11.7500,33.9570,290.0649,1.8954
14.4982,11.9453,34.5465,290.4462,1.6383
14.6003,11.9941,34.7103,290.1129,1.6751
14.7314,12.0731,34.9318,289.5568,1.7933
14.8649,12.1351,35.1958,289.9159,2.0318
15.2446,12.4155,35.9383,290.5759,2.0971
15.3564,12.4780,36.1059,290.5401,1.6023
15.4885,12.5605,36.3473,290.3898,1.9414
15.6218,12.6705,36.5191,290.4832,1.5557
16.0424,12.8729,37.1269,290.9570,1.5234
16.1443,12.9395,37.2484,291.0017,1.4043
16.2781,13.0495,37.4598,290.5314,1.8105
16.4107,13.1329,37.6670,289.9638,1.6839
16.8311,13.3759,38.4302,291.9171,1.9192
16.9734,13.5015,38.6451,291.6974,1.7493
17.1016,13.5885,38.9002,292.9569,2.1021
