time,x,z,rotY,speed
0.0000,11.4918,20.0385,359.6938,0.0000
0.1357,11.4918,20.0384,359.6938,0.0006
0.2713,11.4918,20.0383,359.6938,0.0007
0.4060,11.4918,20.0382,359.6938,0.0006
0.5410,11.4918,20.0381,359.6938,0.0007
0.6760,11.4918,20.0380,359.6938,0.0008
0.8098,11.4919,20.0379,359.6938,0.0008
0.9413,11.4919,20.0378,359.6938,0.0007
1.0767,11.4919,20.0377,359.6938,0.0009
1.2118,11.4919,20.0376,359.6938,0.0009
1.3456,11.4919,20.0375,359.6938,0.0008
1.4837,11.4919,20.0373,359.6939,0.0009
1.6194,11.4919,20.0372,359.6938,0.0010
1.7549,11.4919,20.0371,359.6938,0.0011
1.8916,11.4920,20.0369,359.6937,0.0011
2.0277,11.4920,20.0367,359.6939,0.0012
2.1622,11.4920,20.0366,359.6938,0.0011
2.2967,11.4920,20.0364,359.6938,0.0013
2.4319,11.4920,20.0363,359.6938,0.0013
2.5678,11.4920,20.0361,359.6938,0.0014
2.7049,11.4921,20.0359,359.6938,0.0012
2.8434,11.4921,20.0357,359.6938,0.0015
2.9778,11.4921,20.0355,359.6938,0.0016
3.1119,11.4921,20.0353,359.6938,0.0017
3.2460,11.4921,20.0351,359.6938,0.0015
3.3805,11.4922,20.0348,359.6938,0.0018
3.5160,11.4921,20.0347,359.6934,0.0012
3.6517,11.4921,20.0350,359.6938,0.0021
3.7870,11.4921,20.0352,359.6938,0.0021
3.9208,11.4921,20.0355,359.6938,0.0018
4.0545,11.4920,20.0358,359.6939,0.0022
4.1890,11.4920,20.0361,359.6939,0.0023
4.3239,11.4920,20.0364,359.6940,0.0020
4.4582,11.4920,20.0375,359.6945,0.0084
4.5927,11.4918,20.0626,359.6947,0.1866
4.7270,11.4912,20.0885,359.6855,0.1934
4.8620,11.4901,20.1108,359.6763,0.1654
4.9987,11.4910,20.1372,359.6667,0.1931
5.1336,11.4901,20.1878,359.6502,0.3756
5.2719,11.4896,20.2299,359.6320,0.3083
5.4142,11.4890,20.2795,359.6424,0.3498
5.5150,11.4887,20.3166,359.6487,0.3679
5.6486,11.4879,20.3930,359.6560,0.5720
5.7877,11.4871,20.4706,359.6930,0.5575
5.9233,11.4868,20.5374,359.6894,0.4924
6.0579,11.4858,20.6194,359.6887,0.6106
6.1973,11.4863,20.7278,359.6427,0.7789
6.3337,11.4850,20.8313,359.6467,0.7590
6.4690,11.4835,20.9361,359.6414,0.7750
6.6048,11.4850,21.0257,359.6415,0.6594
6.7400,11.4830,21.1543,359.6107,0.9511
6.8797,11.4827,21.2901,359.6006,0.9740
7.0170,11.4821,21.4204,359.5948,0.9487
7.1530,11.4811,21.5503,359.5813,0.9553
7.2881,11.4799,21.6715,359.5787,0.9003
7.4226,11.4781,21.7822,359.5604,0.8226
7.5603,11.4779,21.9368,359.5396,1.1230
7.6947,11.4766,22.0921,359.5521,1.1556
7.8292,11.4753,22.2486,359.5457,1.1631
7.9643,11.4744,22.3824,359.5288,0.9903
8.0999,11.4730,22.5387,359.4767,1.1524
8.2346,11.4703,22.6955,359.5489,1.1643
8.3698,11.4690,22.8523,359.5492,1.1607
8.5042,11.4672,22.9861,359.5424,0.9951
8.6389,11.4670,23.1428,359.5521,1.1638
8.7790,11.4668,23.2994,359.5512,1.1176
8.9136,11.4654,23.4560,359.5496,1.1635
9.0474,11.4641,23.6300,359.5434,1.3005
9.1848,11.4629,23.7852,359.5259,1.1292
9.3278,11.4627,23.9930,359.5218,1.4540
9.4603,11.4606,24.1500,359.5623,1.1848
9.5950,11.4589,24.3317,359.5666,1.3490
9.6985,11.4582,24.4625,359.5718,1.2638
9.8318,11.4567,24.6441,359.5985,1.3622
9.9662,11.4553,24.8005,359.6188,1.1631
10.1369,11.4544,25.0535,359.6000,1.4828
10.2752,11.4521,25.2624,359.5919,1.5105
10.4180,11.4522,25.4735,359.6002,1.4782
10.5988,11.4516,25.7392,359.5895,1.4701
10.7336,11.4504,25.9747,359.6482,1.7469
10.8673,11.4487,26.2366,359.6787,1.9583
11.0063,11.4493,26.4675,359.6552,1.6622
11.1079,11.4461,26.6948,359.6716,2.2358
11.2411,11.4444,26.9250,359.6718,1.7289
11.3747,11.4442,27.1912,359.6550,1.9926
11.5264,11.4431,27.4601,359.6289,1.7729
11.6612,11.4412,27.7306,359.6212,2.0055
11.7959,11.4410,27.9995,359.6273,1.9964
11.9632,11.4390,28.3049,359.6286,1.8256
12.0964,11.4330,28.5685,359.6990,1.9797
12.2300,11.4251,28.8179,359.9341,1.8698
12.3636,11.4267,29.0440,359.6378,1.6926
12.5035,11.4257,29.3011,359.3272,1.8373
12.6374,11.4131,29.5526,359.3810,1.8848
12.7712,11.4035,29.8015,359.3990,1.8687
12.8918,11.4134,30.0269,359.4014,1.8756
13.0221,11.4002,30.2085,0.0170,1.4095
13.1531,11.3473,30.4046,1.9388,1.5542
13.2840,11.3163,30.5695,6.7316,1.2846
13.4132,11.2944,30.7512,17.5504,1.4188
13.5471,11.3227,30.9674,25.0373,1.6445
13.6805,11.4075,31.1490,26.2147,1.5143
13.8076,11.5160,31.3818,26.2608,2.0834
13.9391,11.6135,31.5947,25.9464,1.7979
14.0733,11.7319,31.7825,25.2665,1.6581
14.2058,11.8093,31.9761,24.7817,1.5807
14.3355,11.9433,32.2151,24.0428,2.1180
14.4726,12.0370,32.3870,22.8668,1.4423
14.6082,12.1001,32.5739,21.9930,1.4567
14.7684,12.2348,32.8427,21.0283,1.8793
14.8994,12.2872,33.0170,21.1317,1.3902
15.0321,12.3691,33.2878,19.8686,2.1464
15.2127,12.4992,33.6055,20.0106,1.9029
15.3439,12.5842,33.7896,20.2947,1.5522
15.4782,12.6542,34.0122,20.2967,1.7389
15.6131,12.7548,34.2140,19.9876,1.6779
15.7182,12.8178,34.3858,19.9626,1.7401
15.8519,12.9311,34.6199,19.8964,1.9500
15.9848,12.9959,34.8116,20.2013,1.5410
16.1081,13.1075,35.0397,20.4544,2.0684
16.2391,13.1940,35.2670,19.5937,1.8640
16.3752,13.2755,35.5391,19.6923,2.1012
16.5138,13.3433,35.7804,21.3739,1.8101
16.6581,13.4157,36.0179,21.9433,1.7238
16.7951,13.4850,36.2261,22.0571,1.6386
16.9283,13.5688,36.4178,21.9205,1.5744
17.0559,13.6219,36.6231,21.9070,1.6662
17.1860,13.6906,36.7931,20.6399,1.4317
17.3180,13.7476,36.9752,19.1803,1.4739
17.4872,13.8620,37.2815,19.1995,1.9335
17.6154,13.9628,37.4920,22.0435,1.8268
17.7472,14.0698,37.7113,29.9612,1.8756
17.8791,14.2095,37.8066,38.3780,1.2908
17.9920,14.3306,37.8305,49.8420,1.0933
