time,x,z,rotY,speed
0.0000,11.4918,20.0424,359.7312,0.0000
0.1325,11.4918,20.0422,359.7312,0.0015
0.2564,11.4918,20.0419,359.7312,0.0020
0.3781,11.4918,20.0417,359.7311,0.0018
0.4979,11.4918,20.0415,359.7310,0.0020
0.6177,11.4918,20.0412,359.7310,0.0020
0.7438,11.4918,20.0410,359.7309,0.0021
0.8639,11.4918,20.0407,359.7307,0.0023
0.9832,11.4919,20.0406,359.7310,0.0015
1.1113,11.4919,20.0406,359.7310,0.0002
1.2268,11.4919,20.0406,359.7310,0.0002
1.3456,11.4919,20.0406,359.7310,0.0001
1.4670,11.4919,20.0406,359.7310,0.0001
1.5870,11.4919,20.0407,359.7310,0.0001
1.7133,11.4919,20.0407,359.7310,0.0001
1.8294,11.4919,20.0407,359.7310,0.0001
1.9488,11.4919,20.0407,359.7309,0.0001
2.0694,11.4919,20.0407,359.7310,0.0001
2.1900,11.4919,20.0407,359.7310,0.0000
2.3092,11.4919,20.0407,359.7310,0.0001
2.4283,11.4919,20.0407,359.7310,0.0000
2.7617,11.4919,20.0407,359.7310,0.0000
2.8796,11.4919,20.0407,359.7310,0.0000
3.0001,11.4919,20.0407,359.7310,0.0000
3.1191,11.4919,20.0407,359.7310,0.0000
3.2393,11.4919,20.0407,359.7309,0.0000
3.6127,11.4919,20.0407,359.7310,0.0000
3.7326,11.4921,20.0676,359.7365,0.2239
3.8522,11.4908,20.1116,359.7494,0.3685
3.9760,11.4910,20.1629,359.7545,0.4146
4.1002,11.4907,20.2202,359.7400,0.4643
4.5157,11.4891,20.4461,359.7740,0.5438
4.6437,11.4873,20.5452,359.8187,0.7738
4.7675,11.4876,20.6682,359.8337,0.9974
4.8893,11.4870,20.8014,359.8317,1.0933
5.0134,11.4870,20.9547,359.8155,1.2356
5.4257,11.4860,21.5786,359.9002,1.5132
5.5565,11.4860,21.7998,359.9324,1.6933
5.6791,11.4864,21.9979,359.9307,1.6150
5.8018,11.4855,22.1969,359.9226,1.6216
5.9230,11.4862,22.3955,359.9185,1.6397
6.2957,11.4857,23.0251,359.9268,1.6894
6.4245,11.4857,23.2464,359.9084,1.7169
6.5459,11.4852,23.4730,359.9113,1.8667
6.6626,11.4858,23.6976,359.9058,1.9250
6.7910,11.4846,23.9233,359.9193,1.7585
7.2031,11.4852,24.7145,359.9202,1.9196
7.3331,11.4850,24.9416,359.9141,1.7475
7.4525,11.4842,25.1652,359.8896,1.8720
7.5707,11.4836,25.3905,359.8884,1.9064
7.6887,11.4845,25.6175,359.8997,1.9241
8.1005,11.4835,26.4077,359.9156,1.9189
8.2300,11.4829,26.6354,359.9297,1.7591
8.3480,11.4829,26.8660,359.9423,1.9533
