time,x,z,rotY,speed
0.0000,11.4919,20.0378,269.6926,0.0000
0.1260,11.4919,20.0378,269.6926,0.0003
0.2475,11.4919,20.0378,269.6927,0.0003
0.3694,11.4919,20.0377,269.6926,0.0003
0.4922,11.4918,20.0389,269.6930,0.0093
0.6147,11.4917,20.0526,269.6895,0.1119
0.7358,11.4912,20.0731,269.6770,0.1697
0.8582,11.4912,20.0934,269.6713,0.1662
0.9793,11.4903,20.1131,269.6694,0.1628
1.1034,11.4908,20.1323,269.6655,0.1545
1.2251,11.4902,20.1514,269.6633,0.1572
1.3466,11.4898,20.1706,269.6589,0.1583
1.4786,11.4900,20.1930,269.6515,0.1697
1.6013,11.4896,20.2070,269.6373,0.1171
1.7249,11.4894,20.2214,269.6424,0.1193
1.8486,11.4890,20.2357,269.6491,0.1168
1.9729,11.4888,20.2537,269.6561,0.1448
2.0971,11.4885,20.2702,269.6629,0.1332
2.2187,11.4886,20.2871,269.6702,0.1387
2.3422,11.4881,20.3038,269.6806,0.1352
2.4637,11.4882,20.3206,269.6891,0.1389
2.5853,11.4875,20.3375,269.7222,0.1388
2.7081,11.4877,20.3544,269.7197,0.1378
2.8306,11.4871,20.3710,269.7330,0.1358
2.9519,11.4872,20.3894,269.7418,0.1518
3.0739,11.4868,20.4034,269.7516,0.1145
3.1950,11.4869,20.4176,269.7591,0.1175
3.3167,11.4864,20.4335,269.7680,0.1308
3.4385,11.4865,20.4502,269.7764,0.1370
3.5603,11.4860,20.4667,269.7823,0.1356
3.6814,11.4862,20.4835,269.7870,0.1382
3.8033,11.4858,20.5074,269.7968,0.1968
3.9256,11.4853,20.5328,269.8151,0.2073
4.0539,11.4848,20.5706,269.8363,0.2945
4.1807,11.4842,20.6060,269.8603,0.2798
4.3030,11.4847,20.6564,269.8885,0.4173
4.4311,11.4835,20.6975,269.8580,0.3218
4.5555,11.4840,20.7513,269.8708,0.4318
4.6828,11.4826,20.7980,269.8832,0.3675
4.8058,11.4835,20.8451,269.8890,0.3828
4.9282,11.4822,20.8962,269.8965,0.4174
5.0586,11.4827,20.9675,269.9063,0.5472
5.1807,11.4824,21.0398,269.9089,0.5920
5.3030,11.4824,21.1166,269.9042,0.6276
5.4259,11.4819,21.2022,269.8901,0.7016
5.5470,11.4809,21.2983,269.8814,0.7938
5.6754,11.4816,21.4088,269.8773,0.8604
5.7985,11.4812,21.5054,269.8707,0.7843
5.9205,11.4812,21.5948,269.8738,0.7364
6.0455,11.4809,21.6998,269.8637,0.8400
6.1719,11.4797,21.8319,269.9302,1.0449
6.2963,11.4796,21.9459,269.9232,0.9169
6.4186,11.4796,22.0629,269.9162,0.9562
6.5423,11.4794,22.1779,269.9120,0.9299
6.6680,11.4792,22.3095,269.9115,1.0466
6.7973,11.4784,22.4648,269.9058,1.2017
6.9204,11.4787,22.6005,269.8956,1.1013
7.0501,11.4785,22.7366,269.8943,1.0502
7.1744,11.4783,22.8950,269.8879,1.2747
7.2958,11.4781,23.0310,269.8816,1.1195
7.4161,11.4778,23.1669,269.8763,1.1302
7.5382,11.4770,23.3117,269.8555,1.1854
7.6606,11.4777,23.4596,269.8614,1.2085
7.7895,11.4766,23.6141,269.8667,1.1995
7.9128,11.4768,23.8113,269.8778,1.5985
8.0402,11.4773,23.9890,269.8747,1.3955
8.1625,11.4765,24.1776,269.8759,1.5409
8.2825,11.4773,24.3741,269.9298,1.6386
8.4087,11.4768,24.5703,269.9229,1.5542
8.5302,11.4773,24.7739,269.8668,1.6755
8.6515,11.4766,25.0139,269.8480,1.9795
8.7738,11.4764,25.2201,269.8358,1.6850
8.8966,11.4780,25.4234,269.8074,1.6565
9.0182,11.4773,25.6201,269.8398,1.6176
9.1391,11.4753,25.8107,269.8610,1.5768
9.2603,11.4761,26.0030,269.8632,1.5871
9.3819,11.4761,26.1979,269.8632,1.6030
9.5031,11.4766,26.3954,269.9868,1.6278
9.6258,11.4835,26.5918,274.5826,1.6017
9.7484,11.5004,26.7936,280.4147,1.6532
9.8703,11.5356,26.9899,280.4481,1.6352
9.9966,11.5786,27.2190,280.4573,1.8466
10.1201,11.6141,27.4173,280.4614,1.6304
10.2495,11.6507,27.6152,280.4650,1.5555
10.3742,11.6942,27.8428,280.4786,1.8576
10.4971,11.7292,28.0386,280.5071,1.6200
