time,x,z,rotY,speed
0.0000,11.4918,20.0386,269.7028,0.0000
0.1364,11.4918,20.0386,269.7030,0.0001
0.2706,11.4918,20.0385,269.7029,0.0001
0.4038,11.4918,20.0385,269.7029,0.0001
0.5383,11.4918,20.0385,269.7029,0.0001
0.6712,11.4918,20.0385,269.7029,0.0001
0.8088,11.4918,20.0385,269.7029,0.0001
0.9458,11.4918,20.0385,269.7029,0.0001
1.0803,11.4918,20.0384,269.7029,0.0001
1.2149,11.4918,20.0384,269.7029,0.0001
1.3536,11.4918,20.0384,269.7029,0.0002
1.4908,11.4918,20.0384,269.7029,0.0002
1.8688,11.4918,20.0383,269.7029,0.0002
1.9995,11.4918,20.0383,269.7029,0.0002
2.1351,11.4918,20.0383,269.7029,0.0002
2.2702,11.4918,20.0382,269.7029,0.0002
2.4054,11.4918,20.0382,269.7029,0.0002
2.5402,11.4918,20.0382,269.7029,0.0002
2.6741,11.4918,20.0381,269.7029,0.0002
2.8075,11.4918,20.0381,269.7029,0.0003
2.9417,11.4918,20.0381,269.7029,0.0003
3.0770,11.4918,20.0380,269.7030,0.0002
3.2109,11.4918,20.0380,269.7029,0.0003
3.3444,11.4919,20.0379,269.7029,0.0003
3.4778,11.4919,20.0379,269.7029,0.0003
3.6116,11.4919,20.0379,269.7029,0.0003
3.7473,11.4917,20.0501,269.6989,0.0904
3.8819,11.4908,20.0761,269.6861,0.1929
4.0153,11.4913,20.0987,269.6688,0.1700
4.1485,11.4906,20.1246,269.6395,0.1943
4.2827,11.4904,20.1681,269.6151,0.3245
4.4210,11.4894,20.2138,269.5799,0.3328
4.5555,11.4891,20.2657,269.5718,0.3874
4.6939,11.4887,20.3502,269.5558,0.6099
4.8383,11.4877,20.4540,269.5379,0.7197
4.9711,11.4866,20.5842,269.5224,0.9799
5.1079,11.4846,20.7390,269.5173,1.1341
5.2405,11.4845,20.8796,269.5044,1.0607
5.3803,11.4828,21.0659,269.4895,1.3326
5.5190,11.4820,21.2890,269.5510,1.6118
5.6561,11.4807,21.5337,269.5783,1.7846
5.7586,11.4784,21.7160,269.5644,1.7800
5.8924,11.4767,21.9829,269.5647,1.9959
6.0248,11.4749,22.2509,269.5794,2.0227
6.1589,11.4726,22.4790,269.5460,1.7014
6.2923,11.4716,22.7431,269.5530,1.9804
6.4258,11.4686,23.0117,269.5903,2.0120
6.5605,11.4681,23.2420,269.6029,1.7096
6.6941,11.4649,23.5048,269.5876,1.9670
6.8256,11.4643,23.7719,269.6127,2.0316
6.9663,11.4625,24.0413,269.6177,1.9149
7.0985,11.4608,24.2701,269.6163,1.7298
7.2318,11.4587,24.5361,269.6302,1.9957
7.3656,11.4582,24.8035,269.6339,1.9995
7.4978,11.4561,25.0323,269.6078,1.7310
7.6283,11.4549,25.2996,269.5892,2.0482
7.7605,11.4528,25.5282,269.6000,1.7293
7.8929,11.4517,25.7868,275.0059,1.9538
8.0265,11.4845,26.0150,283.3499,1.7253
8.1592,11.5506,26.2261,284.5043,1.6658
8.2917,11.6187,26.4843,284.4227,2.0168
8.4261,11.6864,26.7444,284.4442,1.9997
8.5601,11.7431,26.9670,284.4708,1.7134
8.6932,11.8097,27.2259,284.4473,2.0094
8.8258,11.8770,27.4861,284.4586,2.0255
8.9574,11.9341,27.7082,284.4633,1.7438
9.0901,12.0003,27.9675,284.4470,2.0159
9.2257,12.0685,28.2272,284.4353,1.9801
9.3595,12.1289,28.4451,284.4361,1.6904
9.4914,12.1998,28.6910,284.3313,1.9415
