time,x,z,rotY,speed
0.0000,11.4917,20.0388,269.7034,0.0000
0.1190,11.4917,20.0388,269.7034,0.0000
0.2438,11.4917,20.0388,269.7034,0.0000
0.3629,11.4917,20.0388,269.7034,0.0000
0.7690,11.4917,20.0388,269.7034,0.0000
0.8898,11.4917,20.0388,269.7034,0.0000
1.0115,11.4917,20.0388,269.7033,0.0000
1.1338,11.4917,20.0388,269.7034,0.0001
1.2548,11.4917,20.0388,269.7034,0.0000
1.6285,11.4917,20.0388,269.7034,0.0001
1.7495,11.4917,20.0389,269.7034,0.0000
1.8696,11.4917,20.0389,269.7034,0.0001
1.9889,11.4917,20.0389,269.7035,0.0001
2.1108,11.4917,20.0389,269.7035,0.0001
2.5243,11.4917,20.0389,269.7034,0.0001
2.6448,11.4917,20.0389,269.7034,0.0001
2.7630,11.4917,20.0389,269.7034,0.0001
2.8822,11.4917,20.0389,269.7033,0.0001
3.0023,11.4917,20.0389,269.7035,0.0001
3.3756,11.4917,20.0390,269.7035,0.0001
3.5021,11.4917,20.0390,269.7035,0.0001
3.6224,11.4917,20.0390,269.7034,0.0001
3.7427,11.4916,20.0475,269.7084,0.0711
3.8622,11.4916,20.0697,269.7047,0.1856
4.2764,11.4898,20.1444,269.6827,0.1804
4.4007,11.4902,20.1994,269.6689,0.4428
4.5263,11.4894,20.2575,269.6668,0.4671
4.6470,11.4891,20.3367,269.6481,0.6562
4.7719,11.4887,20.4326,269.6418,0.7677
5.1857,11.4850,20.8354,269.6184,0.9739
5.3227,11.4843,20.9968,269.6122,1.1773
5.4542,11.4829,21.1541,269.6106,1.1969
5.5757,11.4811,21.3363,269.6004,1.5009
5.7011,11.4809,21.5685,269.6156,1.8511
6.0706,11.4769,22.2504,269.6305,1.8456
6.2072,11.4752,22.5197,269.6264,1.9720
6.3367,11.4734,22.7489,269.6144,1.7712
6.4603,11.4721,23.0195,269.6120,2.1890
6.5799,11.4715,23.2493,269.6157,1.9202
6.9919,11.4660,24.0188,269.6141,1.8679
7.1219,11.4636,24.2895,269.6227,2.0819
7.2434,11.4622,24.5196,269.6249,1.8946
7.3624,11.4624,24.7487,269.5753,1.9247
7.4816,11.4593,24.9771,269.5399,1.9167
7.8935,11.4551,25.7442,269.5420,1.8626
8.0225,11.4517,26.0143,269.5361,2.0936
8.1409,11.4514,26.2424,269.5455,1.9263
8.2583,11.4491,26.4356,269.5596,1.6452
8.3775,11.4487,26.6651,269.5420,1.9253
8.7498,11.4433,27.3917,269.5076,1.9516
8.8790,11.4413,27.6618,269.5270,2.0914
8.9999,11.4387,27.8902,269.5307,1.8893
9.1197,11.4376,28.1198,269.5229,1.9166
9.2382,11.4364,28.3109,269.5334,1.6129
9.6506,11.4218,29.1004,269.4565,1.9151
9.7797,11.4197,29.3675,269.3831,2.0690
9.8987,11.4109,29.5519,269.5534,1.5550
10.0193,11.3991,29.8092,269.3690,2.1443
10.1431,11.4141,30.0485,269.0880,1.9400
10.5585,11.4138,30.7648,269.3280,1.7272
10.6850,11.3988,31.0232,269.3721,2.0488
10.8058,11.3645,31.2761,269.9647,2.1131
10.9255,11.4068,31.4625,269.4615,1.5979
11.0461,11.4425,31.6801,269.4862,1.8287
11.4191,11.4185,32.3504,269.6927,1.7984
11.5527,11.4447,32.5382,269.5920,1.4416
11.6749,11.4233,32.7736,270.2986,1.9356
11.7963,11.4377,32.9776,269.8610,1.6849
11.9171,11.4862,33.1431,268.3041,1.4491
12.2913,11.4717,33.8709,267.9421,1.9473
12.4161,11.4632,34.0727,267.1481,1.6230
12.5373,11.4605,34.2851,267.1280,1.7525
12.6580,11.4130,34.5073,266.5394,1.8854
12.7795,11.4117,34.7528,264.6834,2.0315
13.1527,11.2734,35.4006,264.5928,1.7830
13.2843,11.2332,35.6612,265.3977,2.0044
13.4049,11.2215,35.8965,265.6881,1.9578
13.5259,11.2302,36.0974,265.2153,1.6625
13.6468,11.2457,36.3353,265.0450,1.9841
13.9801,11.2179,36.9591,266.1724,1.8731
14.1195,11.2136,37.2247,266.3810,1.9053
14.2449,11.1825,37.4088,266.9841,1.4942
14.3677,11.1539,37.6247,267.4625,1.7749
14.4898,11.1459,37.8622,267.4838,1.9535
14.8633,11.0425,38.5055,267.0273,1.7539
14.9973,11.0412,38.7242,270.1372,1.6323
15.1228,11.0626,38.8876,281.4452,1.3304
15.2452,11.0527,39.0223,292.3779,1.1063
15.3674,11.1021,39.1379,306.0480,1.0297
15.7414,11.4210,39.4372,331.4324,1.1906
15.8818,11.5108,39.5738,334.3542,1.2118
16.0106,11.6980,39.6683,334.6323,1.6283
16.1390,11.9798,39.8234,334.1008,2.5169
16.2637,12.1332,39.9445,333.5757,1.5957
16.6388,12.1698,39.9715,334.0144,0.1258
16.7623,12.1604,39.9681,334.1209,0.0987
16.8863,12.1557,39.9668,334.1209,0.0439
17.0099,12.1512,39.9649,334.1449,0.0437
17.1336,12.1465,39.9631,334.1677,0.0458
17.5094,12.1305,39.9572,334.1530,0.0512
17.6328,12.1254,39.9552,334.1795,0.0510
17.7568,12.1203,39.9533,334.1960,0.0492
17.8795,12.1143,39.9511,334.2209,0.0608
18.0037,12.1092,39.9489,334.2122,0.0502
18.3805,12.0936,39.9421,334.3123,0.0511
18.5040,12.0921,39.9410,334.3219,0.0158
18.6271,12.0911,39.9400,334.3319,0.0120
18.7502,12.0900,39.9389,334.3300,0.0128
18.8724,12.0888,39.9377,334.3400,0.0137
19.2467,12.0859,39.9351,334.3487,0.0104
19.3763,12.0848,39.9340,334.3480,0.0123
19.4994,12.1456,39.9815,334.2354,0.8144
19.6237,12.2505,40.0599,333.0896,1.0682
19.7471,12.4270,40.1634,331.5188,1.6649
20.1215,12.9825,40.5405,329.3722,1.7985
20.2588,13.1367,40.6138,330.0893,1.2614
20.3823,13.3336,40.6595,332.3021,1.7550
20.5058,13.4741,40.7606,333.0293,1.4119
20.6300,13.6312,40.8707,332.4601,1.5452
21.0042,14.2421,41.1424,330.4993,1.7875
21.1425,14.5070,41.2969,330.0138,2.2511
21.2664,14.7166,41.4356,329.7350,2.0600
21.3901,14.8853,41.5555,329.8794,1.7093
21.5140,15.0349,41.6598,331.5016,1.5138
21.8875,15.6502,41.9415,333.4328,1.8495
22.0231,15.8402,42.0431,332.7748,1.6825
22.1463,15.9854,42.1472,332.1239,1.4546
22.2685,16.1683,42.2411,331.7632,1.6845
22.3914,16.3629,42.3264,331.3226,1.7308
22.7658,17.0157,42.6880,329.4030,2.0015
22.8692,17.1963,42.8142,328.8692,2.1630
22.9922,17.3713,42.9481,329.4161,1.8006
23.1148,17.5274,43.0303,328.7318,1.4746
23.2369,17.7145,43.1584,326.6492,1.8587
23.6522,18.2211,43.5441,327.8781,1.5330
23.7576,18.3796,43.6322,327.6970,1.7199
23.8811,18.6157,43.7506,326.7793,2.1469
24.0031,18.8347,43.8527,326.2560,1.9997
24.1229,19.0101,43.9762,326.2773,1.7915
24.5039,19.5835,44.3297,328.8941,1.7697
24.6437,19.8042,44.4757,329.9323,1.8933
24.7667,19.9986,44.5961,330.4169,1.8607
24.8890,20.1633,44.7049,330.9758,1.6170
25.0103,20.3070,44.8017,331.6999,1.4774
25.4214,20.8967,45.2705,330.6388,1.8349
25.5634,21.0567,45.4223,329.3281,1.6426
25.6909,21.1889,45.5812,329.3747,1.6214
25.8253,21.3046,45.6894,340.1429,1.1786
25.9531,21.4580,45.7717,355.9401,1.3688
26.3273,22.0156,45.8659,0.0665,1.5149
26.4514,22.2428,45.8983,0.8346,1.8487
26.5744,22.4714,45.8762,0.7153,1.8671
26.6971,22.6625,45.8014,0.6158,1.6936
27.1123,23.4375,45.7366,2.6779,1.8738
27.2441,23.6372,45.7278,3.1404,1.6483
27.3690,23.7876,45.7005,2.7686,1.3012
27.4951,23.9456,45.6793,2.4811,1.3068
27.9141,24.5337,45.6797,6.3219,1.5527
28.0437,24.7532,45.6493,6.0004,1.9463
28.1710,24.9460,45.6161,5.3092,1.7170
28.2983,25.1332,45.5892,4.9565,1.6766
28.7155,25.7722,45.5166,4.9637,1.7777
28.8420,25.9873,45.4905,4.9003,1.9640
28.9674,26.1747,45.4709,5.1009,1.7401
29.0968,26.3605,45.4467,4.8995,1.6518
29.4733,26.9385,45.3804,4.9379,1.7843
29.6005,27.1531,45.3555,4.9439,1.9630
29.7330,27.3350,45.3343,4.9315,1.5989
29.8586,27.5182,45.3131,4.9537,1.6899
30.2409,28.1285,45.2429,5.1906,1.8538
30.3663,28.3137,45.2208,5.1806,1.6963
30.4917,28.4704,45.1987,4.6972,1.5386
30.6177,28.6527,45.1768,5.2074,1.6654
30.7425,28.9182,45.1423,6.0012,2.2836
30.9905,29.4145,45.0827,5.4147,2.1318
31.1145,29.6735,45.0851,4.9725,2.1087
31.2368,29.9204,45.0615,4.5432,2.0277
31.3572,30.1742,45.0504,4.1016,2.1095
31.4771,30.4234,45.0288,3.9205,2.0883
31.7103,30.8789,44.9884,4.0732,1.9608
