time,x,z,rotY,speed
0.0000,11.4920,20.0411,269.7163,0.0000
0.1177,11.4920,20.0411,269.7162,0.0000
0.2492,11.4920,20.0411,269.7162,0.0000
0.3764,11.4920,20.0411,269.7162,0.0000
0.7957,11.4920,20.0411,269.7163,0.0000
0.9176,11.4920,20.0411,269.7163,0.0000
1.0462,11.4920,20.0411,269.7162,0.0000
1.1746,11.4920,20.0411,269.7162,0.0000
1.3016,11.4920,20.0411,269.7163,0.0000
1.6349,11.4920,20.0412,269.7162,0.0000
1.7484,11.4920,20.0412,269.7163,0.0000
1.8801,11.4919,20.0412,269.7163,0.0000
2.0066,11.4919,20.0412,269.7163,0.0000
2.1344,11.4920,20.0412,269.7163,0.0000
2.3933,11.4920,20.0412,269.7163,0.0000
2.5070,11.4920,20.0412,269.7162,0.0000
2.6325,11.4919,20.0412,269.7163,0.0000
2.7570,11.4919,20.0412,269.7163,0.0000
3.1733,11.4919,20.0412,269.7162,0.0000
3.2772,11.4919,20.0412,269.7162,0.0000
3.4025,11.4919,20.0412,269.7162,0.0000
3.5289,11.4919,20.0412,269.7162,0.0000
3.6553,11.4919,20.0412,269.7162,0.0000
3.9886,11.4919,20.0412,269.7162,0.0000
4.1098,11.4919,20.0412,269.7162,0.0000
4.2364,11.4919,20.0412,269.7162,0.0000
4.3615,11.4919,20.0412,269.7162,0.0000
4.4873,11.4919,20.0412,269.7163,0.0000
4.8206,11.4919,20.0412,269.7162,0.0000
4.9289,11.4919,20.0412,269.7163,0.0000
5.0553,11.4919,20.0412,269.7163,0.0000
5.1803,11.4919,20.0412,269.7162,0.0000
5.3075,11.4919,20.0412,269.7162,0.0000
5.6408,11.4919,20.0412,269.7162,0.0000
5.7643,11.4919,20.0412,269.7162,0.0000
5.8960,11.4919,20.0412,269.7162,0.0000
6.0328,11.4919,20.0412,269.7162,0.0000
6.4541,11.4919,20.0412,269.7163,0.0000
6.5750,11.4919,20.0412,269.7162,0.0000
6.7074,11.4923,20.0694,269.7039,0.2132
6.8355,11.4916,20.2227,269.6893,1.1991
6.9650,11.4907,20.3771,269.6954,1.1923
7.2984,11.4871,20.8961,269.6616,1.5575
7.4235,11.4867,21.0975,269.6407,1.6092
7.5550,11.4842,21.3413,269.6299,1.8554
7.6852,11.4848,21.5478,269.6166,1.5861
7.8129,11.4833,21.7439,269.6030,1.5366
8.1463,11.4799,22.3233,269.5674,1.7383
8.2659,11.4788,22.5527,269.5539,1.9176
8.3955,11.4754,22.8245,269.5481,2.0974
8.5234,11.4742,23.0550,269.5218,1.8020
8.6502,11.4730,23.2852,269.5119,1.8154
8.9836,11.4682,23.9394,269.4620,1.9625
9.1194,11.4659,24.2090,269.4737,1.9856
9.2437,11.4639,24.4411,269.5076,1.8663
9.3659,11.4622,24.6718,269.4966,1.8879
9.7402,11.4549,25.4042,269.4843,1.9572
9.8754,11.4539,25.6748,269.4817,2.0017
10.0010,11.4515,25.9042,269.4883,1.8253
10.1251,11.4489,26.1370,269.4981,1.8758
10.5002,11.4450,26.6252,269.4785,1.3017
10.6383,11.4455,26.6688,269.3422,0.3159
10.7637,11.4455,26.6688,269.3421,0.0002
10.8907,11.4455,26.6688,269.3421,0.0001
11.3081,11.4455,26.6689,269.3422,0.0001
11.4112,11.4455,26.6689,269.3420,0.0001
11.5477,11.4455,26.6689,269.3421,0.0001
11.6741,11.4455,26.6689,269.3422,0.0002
11.7993,11.4455,26.6689,269.3421,0.0002
12.1025,11.4455,26.6690,269.3421,0.0002
12.2249,11.4455,26.6690,269.3421,0.0002
12.3473,11.4455,26.6690,269.3421,0.0002
12.4735,11.4455,26.6690,269.3421,0.0002
12.6004,11.4455,26.6691,269.3421,0.0002
12.9338,11.4455,26.6691,269.3420,0.0002
13.0607,11.4455,26.6692,269.3420,0.0002
13.1863,11.4455,26.6692,269.3421,0.0002
13.3117,11.4454,26.6692,269.3422,0.0003
13.4382,11.4454,26.6692,269.3421,0.0003
13.7716,11.4454,26.6693,269.3421,0.0003
13.9009,11.4454,26.6694,269.3421,0.0003
14.0262,11.4447,26.7094,269.3970,0.3235
14.1508,11.4442,26.8886,269.4326,1.4384
14.2780,11.4441,27.1523,269.4557,2.0727
14.6113,11.4375,27.7538,269.4074,1.8048
14.7512,11.4353,28.0187,269.3890,1.8943
14.8794,11.4315,28.2836,269.4037,2.0653
15.0038,11.4269,28.5062,269.3907,1.7904
15.3789,11.4205,29.2111,269.2601,1.8795
15.4855,11.4135,29.3991,269.4389,1.7653
15.6128,11.4017,29.6168,269.4680,1.7179
15.7368,11.3987,29.8719,269.3430,2.0627
15.8613,11.4075,30.1032,269.4331,1.8598
16.1947,11.4109,30.7037,269.4428,1.8056
16.3050,11.4154,30.8019,269.9387,0.8919
16.4318,11.4132,30.8077,269.9669,0.0667
16.5586,11.4182,30.8028,269.9057,0.0684
16.9766,11.4182,30.8036,269.9034,0.0019
17.0855,11.4182,30.8038,269.9034,0.0019
17.2119,11.4182,30.8041,269.9034,0.0020
17.3379,11.4182,30.8044,269.9030,0.0025
17.4647,11.4182,30.8045,269.9054,0.0011
17.7980,11.4182,30.8050,269.9050,0.0014
