time,x,z,rotY,speed
0.0000,11.4919,20.0382,269.6927,0.0000
0.1233,11.4919,20.0382,269.6927,0.0002
0.2444,11.4919,20.0382,269.6926,0.0002
0.3671,11.4919,20.0382,269.6926,0.0002
0.4902,11.4919,20.0382,269.6926,0.0002
0.6121,11.4919,20.0381,269.6927,0.0002
0.7343,11.4919,20.0381,269.6926,0.0002
0.8551,11.4918,20.0390,269.6931,0.0076
0.9785,11.4917,20.0524,269.6885,0.1081
1.1020,11.4918,20.0671,269.6817,0.1195
1.2219,11.4911,20.0814,269.6699,0.1193
1.3425,11.4914,20.1029,269.6601,0.1782
1.4635,11.4907,20.1247,269.6461,0.1809
1.5851,11.4897,20.1470,269.6311,0.1833
1.7073,11.4902,20.1689,269.6060,0.1789
1.8292,11.4895,20.1910,269.5802,0.1821
1.9497,11.4887,20.2074,269.5472,0.1385
2.0711,11.4888,20.2277,269.5451,0.1704
2.1911,11.4884,20.2473,269.5458,0.1648
2.3115,11.4883,20.2891,269.5461,0.3469
2.4351,11.4871,20.3386,269.5508,0.4008
2.5615,11.4864,20.4040,269.5557,0.5173
2.6881,11.4862,20.4822,269.6096,0.6174
2.8094,11.4855,20.5764,269.5920,0.7776
2.9357,11.4830,20.7134,269.5765,1.0886
3.0592,11.4830,20.8437,269.5770,1.0550
3.1852,11.4821,20.9810,269.5673,1.0896
3.3132,11.4809,21.1596,269.5795,1.3958
3.4373,11.4805,21.3321,269.6014,1.3911
3.5658,11.4804,21.5097,269.6054,1.3823
3.6884,11.4787,21.6768,269.6151,1.3653
3.8098,11.4779,21.8824,269.6357,1.6928
3.9403,11.4771,22.0793,269.6485,1.5099
4.0643,11.4766,22.2780,269.6257,1.6023
4.1882,11.4742,22.4740,269.6402,1.5826
4.3131,11.4732,22.7041,269.6577,1.8415
4.4363,11.4732,22.9026,269.6806,1.6116
4.5587,11.4716,23.0991,269.7116,1.6056
4.6814,11.4715,23.2975,269.7270,1.6168
4.8022,11.4706,23.4967,269.7513,1.6484
4.9217,11.4696,23.6956,269.7524,1.6646
5.0434,11.4689,23.8997,269.7692,1.6775
5.1699,11.4695,24.1620,269.7781,2.0739
5.2906,11.4683,24.3859,269.7637,1.8546
5.4117,11.4666,24.6101,269.7695,1.8516
5.5328,11.4665,24.8340,269.7507,1.8483
5.6538,11.4667,25.0574,269.7174,1.8473
5.7747,11.4646,25.2807,269.7244,1.8469
