time,x,z,rotY,speed
0.0000,11.4922,20.0384,269.7217,0.0000
0.1371,11.4922,20.0386,269.7218,0.0017
0.2706,11.4922,20.0389,269.7218,0.0018
0.4048,11.4922,20.0391,269.7218,0.0018
0.5372,11.4922,20.0393,269.7219,0.0016
0.6698,11.4922,20.0396,269.7220,0.0020
0.8048,11.4922,20.0399,269.7219,0.0020
0.9370,11.4921,20.0401,269.7220,0.0018
1.0689,11.4921,20.0404,269.7220,0.0022
1.2027,11.4921,20.0407,269.7221,0.0020
1.3362,11.4919,20.0411,269.7220,0.0037
1.4802,11.4919,20.0410,269.7221,0.0005
1.6094,11.4919,20.0409,269.7221,0.0006
1.7441,11.4919,20.0409,269.7221,0.0005
1.8469,11.4919,20.0408,269.7221,0.0004
1.9881,11.4919,20.0408,269.7221,0.0004
2.1281,11.4919,20.0407,269.7221,0.0003
2.2636,11.4919,20.0407,269.7222,0.0003
2.3984,11.4919,20.0407,269.7222,0.0002
2.5429,11.4920,20.0406,269.7222,0.0002
2.6794,11.4920,20.0406,269.7221,0.0002
2.8234,11.4920,20.0406,269.7222,0.0002
2.9577,11.4920,20.0405,269.7222,0.0001
3.0933,11.4920,20.0405,269.7222,0.0002
3.2271,11.4920,20.0405,269.7222,0.0001
3.3605,11.4920,20.0405,269.7221,0.0001
3.4942,11.4920,20.0405,269.7221,0.0001
3.6293,11.4920,20.0405,269.7222,0.0001
3.7681,11.4920,20.0405,269.7222,0.0001
3.9035,11.4920,20.0404,269.7220,0.0001
4.0384,11.4918,20.0427,269.7222,0.0172
4.1715,11.4919,20.0673,269.7276,0.1844
4.3040,11.4915,20.0927,269.7272,0.1922
4.4372,11.4906,20.1149,269.7275,0.1666
4.5954,11.4901,20.1439,269.7187,0.1832
4.7254,11.4905,20.1695,269.7086,0.1973
4.8630,11.4900,20.1913,269.6954,0.1584
4.9993,11.4898,20.2160,269.6676,0.1859
5.1434,11.4886,20.2687,269.6808,0.3671
5.2874,11.4880,20.3288,269.7545,0.4174
5.4267,11.4869,20.4051,269.7780,0.5478
5.5598,11.4871,20.4772,269.7863,0.5412
5.6928,11.4864,20.5799,269.7901,0.7724
5.8310,11.4858,20.7079,269.7885,0.9300
5.9662,11.4864,20.8367,269.7563,0.9524
6.1100,11.4850,20.9890,269.7031,1.0595
6.2500,11.4838,21.1538,269.6838,1.1766
6.3867,11.4820,21.3397,269.6808,1.3612
6.5259,11.4822,21.5440,269.6872,1.4681
6.6610,11.4818,21.7237,269.6841,1.3306
6.7994,11.4805,21.9629,269.7000,1.7297
6.9359,11.4786,22.2238,269.6918,1.9104
7.0701,11.4775,22.4881,269.6995,1.9692
7.2044,11.4758,22.7496,269.7028,1.9471
7.3483,11.4757,23.0116,269.6691,1.8217
7.4825,11.4737,23.2373,269.6652,1.6815
7.6150,11.4725,23.4991,269.6765,1.9765
7.7467,11.4716,23.7621,269.6801,1.9955
7.8785,11.4707,23.9870,269.6561,1.7068
8.0112,11.4680,24.2457,269.6563,1.9493
8.1444,11.4681,24.5039,269.6156,1.9385
8.2763,11.4654,24.7256,269.6013,1.6815
8.4075,11.4648,24.9838,269.6014,1.9678
8.5387,11.4631,25.2060,269.6297,1.6935
8.6715,11.4620,25.4642,269.6159,1.9442
8.8038,11.4606,25.7238,269.6038,1.9620
8.9361,11.4595,25.9452,269.5969,1.6734
9.0680,11.4568,26.2043,269.5844,1.9655
9.2016,11.4546,26.4243,269.5111,1.6465
9.3364,11.4532,26.6820,269.4980,1.9126
9.4683,11.4512,26.9393,269.5108,1.9498
9.5992,11.4514,27.1607,269.5465,1.6923
9.7314,11.4487,27.4171,269.5615,1.9388
9.8645,11.4654,27.6982,272.9219,2.1153
9.9975,11.5007,27.8929,280.3005,1.4879
10.1364,11.5302,28.0478,292.6032,1.1357
10.2685,11.5820,28.1584,309.1038,0.9245
10.4021,11.6868,28.2828,317.3448,1.2178
10.5383,11.8460,28.4449,319.8215,1.6688
10.6738,12.0421,28.6126,319.7102,1.9039
10.8093,12.2398,28.7833,319.7626,1.9281
10.9437,12.4391,28.9471,319.7127,1.9188
11.0780,12.6165,29.0822,319.7434,1.6624
11.2126,12.8085,29.2410,319.6298,1.8514
11.3476,12.9989,29.4024,319.5496,1.8495
11.4806,13.1701,29.5509,319.6915,1.7037
11.6141,13.3708,29.7128,320.0952,1.9344
11.7481,13.5404,29.8530,320.7942,1.6679
11.8808,13.6683,29.9562,321.5031,1.2782
12.0105,13.7637,30.0443,316.5805,1.0649
12.1375,13.8089,30.0995,303.7037,0.6153
12.2657,13.9040,30.2667,293.3720,1.5055
12.3928,13.9830,30.4740,290.8816,1.7533
12.5209,14.0409,30.7132,291.3124,1.9252
12.6508,14.1385,31.0057,292.1013,2.3746
12.7829,14.2111,31.2546,292.3741,1.9772
12.9142,14.2748,31.5425,293.4890,2.2714
13.0511,14.3765,31.7804,294.5215,1.8945
13.1945,14.4386,31.9798,294.6227,1.4769
13.3250,14.4511,31.9968,294.5048,0.1672
13.4577,14.4510,31.9967,294.4987,0.0013
13.5886,14.4510,31.9967,294.4987,0.0006
13.7197,14.4510,31.9966,294.4985,0.0001
13.8519,14.4753,32.0483,294.5089,0.4379
13.9843,14.5735,32.2445,294.3668,1.6763
14.1154,14.6379,32.4130,295.3965,1.3884
14.2454,14.7392,32.6379,296.0296,1.8981
14.3773,14.8196,32.8345,296.5793,1.6132
14.5094,14.9533,33.0831,296.3517,2.1465
14.6412,15.0871,33.3022,296.8384,1.9487
14.7733,15.1846,33.5325,297.4052,1.9056
14.9060,15.2956,33.8014,297.7050,2.1926
15.0406,15.3984,34.0199,297.8850,1.7987
15.1764,15.5392,34.2157,298.3004,1.7765
15.3103,15.6507,34.4292,298.0140,1.8058
15.4425,15.7465,34.6279,297.8514,1.6729
15.5756,15.8589,34.8639,297.2114,1.9750
15.6900,15.9878,35.0737,296.3686,2.1543
15.8311,16.1240,35.3069,296.3228,1.9194
15.9652,16.2369,35.5489,295.9634,1.9927
16.1220,16.3114,35.7577,296.6092,1.4183
16.2618,16.4548,35.9598,297.2819,1.7851
16.3944,16.5785,36.1707,297.0172,1.8461
16.5263,16.6921,36.4253,297.3245,2.1152
16.6307,16.7740,36.5795,296.4051,1.6794
16.7731,16.8548,36.8021,295.6700,1.6717
16.9067,16.9822,37.0375,296.1913,2.0145
17.0768,17.1181,37.2659,295.9152,1.5631
17.2173,17.2369,37.4618,295.3036,1.6606
17.3487,17.3405,37.6238,294.7009,1.5296
17.4791,17.4103,37.8142,296.0786,1.5561
17.6232,17.5106,38.0107,304.7777,1.5318
17.7515,17.6703,38.0994,314.6739,1.4295
17.8840,17.9221,38.2223,318.9536,2.1507
18.0046,18.0651,38.3818,320.8844,1.7843
18.1380,18.2358,38.5608,321.3804,1.8723
18.2743,18.4408,38.7007,321.4024,1.8263
18.4101,18.5989,38.8685,320.8035,1.6983
18.5434,18.7435,39.0266,321.3361,1.6079
18.6746,18.8913,39.1742,321.0777,1.6167
18.8100,19.1072,39.3093,320.1338,1.8931
18.9535,19.3058,39.4815,320.5526,1.8362
19.0839,19.4935,39.5955,323.7850,1.6889
19.2186,19.6411,39.6203,332.2810,1.1121
19.3961,19.9295,39.6983,347.5280,1.6916
19.5371,20.1642,39.7239,349.5670,1.6747
19.6734,20.4249,39.7769,349.5296,1.9526
19.8272,20.7267,39.8661,349.5677,2.0503
19.9656,20.9568,39.9329,350.0396,1.7315
20.1044,21.2068,39.9659,350.1071,1.8184
20.2425,21.4193,40.0185,350.0672,1.5857
20.3698,21.6253,40.0838,350.2465,1.7002
20.5033,21.7842,40.1706,351.0464,1.3626
20.6409,21.9691,40.2287,350.0278,1.4313
20.7752,22.1690,40.2544,347.1721,1.5186
20.9077,22.4251,40.3444,347.2337,2.0487
21.0407,22.6724,40.4239,347.1797,1.9597
21.1607,22.8258,40.4849,345.3664,1.4638
21.2636,23.0011,40.5312,342.4839,1.9015
21.3945,23.1699,40.6133,341.0695,1.4449
21.5302,23.3420,40.7310,342.1135,1.5421
21.6861,23.5300,40.8341,339.5688,1.3817
21.8223,23.7065,40.9350,334.5233,1.5334
21.9581,23.9246,41.0488,332.6867,1.9256
22.1143,24.1133,41.1911,333.2996,1.6373
22.2465,24.2546,41.3160,335.1448,1.4769
22.3784,24.3708,41.4080,337.3773,1.1316
22.5339,24.6093,41.4892,334.1975,1.7248
22.6636,24.8145,41.6149,333.7743,2.0083
22.7942,24.9762,41.7213,333.6689,1.6495
22.9480,25.1922,41.8636,333.7502,1.8591
23.0780,25.3519,41.9710,333.7850,1.6520
23.2581,25.5882,42.1244,333.6472,1.7329
23.3696,25.7423,42.2288,333.6841,1.8471
23.4983,25.8923,42.3273,333.6678,1.5475
23.6424,26.0624,42.4424,333.5898,1.5901
23.7434,26.2045,42.5384,333.5994,1.8803
23.8735,26.3498,42.6347,333.6741,1.4792
24.0146,26.5166,42.7455,333.7229,1.5736
24.1570,26.6862,42.8570,333.6360,1.5878
24.2861,26.8239,42.9704,336.7653,1.5209
24.4037,26.8911,43.0404,342.2489,0.9026
24.5334,26.9468,43.0969,350.7112,0.6468
24.6615,27.0475,43.1146,357.4053,0.9297
24.7928,27.2115,43.1013,0.3308,1.4213
24.9224,27.3755,43.0993,0.4086,1.4669
25.0509,27.5662,43.0968,0.3809,1.7155
25.1552,27.6971,43.0956,0.3450,1.4473
25.2846,27.8797,43.0950,0.2622,1.6312
25.4127,28.0335,43.0951,0.3152,1.3892
25.5202,28.1629,43.0948,0.3757,1.3859
25.6473,28.3494,43.0931,0.3740,1.6920
25.7772,28.4927,43.0966,0.8089,1.3594
25.8816,28.6241,43.0956,0.8490,1.5281
26.0175,28.8588,43.0867,0.9752,1.8859
26.1449,29.1510,43.0945,1.6409,2.4172
26.2721,29.3962,43.1013,2.1476,2.0634
26.4035,29.6821,43.0987,2.4956,2.2451
26.5407,29.9360,43.0965,2.8610,1.8518
26.6788,30.2453,43.0771,2.8684,2.2448
26.8182,30.5423,43.0504,3.2337,2.1403
26.9549,30.8084,43.0392,3.0461,1.9527
27.0911,31.0690,43.0216,3.2115,1.9189
27.2264,31.3203,42.9969,3.5576,1.8739
27.3619,31.5374,42.9843,3.4971,1.6063
27.4964,31.8096,42.9621,3.3281,2.0318
27.6311,32.0757,42.9495,3.2985,1.9776
27.7651,32.3488,42.9255,3.1973,2.0486
27.8985,32.5724,42.9317,3.4110,1.6824
28.0336,32.8294,42.9140,3.5575,1.9076
28.1685,33.0949,42.9043,3.5634,1.9766
28.3038,33.3729,42.8828,3.1256,2.0658
28.4489,33.6548,42.8796,3.1708,1.9459
28.5856,33.9325,42.8646,3.0321,2.0342
28.7217,34.1768,42.8544,2.7298,1.8005
28.8575,34.4590,42.8324,2.4872,2.0853
28.9915,34.7572,42.8136,2.6405,2.2428
