time,x,z,rotY,speed
0.0000,11.4918,20.0428,269.7276,0.0000
0.1331,11.4917,20.0431,269.7278,0.0018
0.4236,11.4917,20.0435,269.7277,0.0014
0.5443,11.4917,20.0436,269.7276,0.0011
0.6655,11.4917,20.0437,269.7275,0.0009
0.7908,11.4917,20.0438,269.7278,0.0009
0.9119,11.4917,20.0440,269.7278,0.0017
1.3258,11.4916,20.0446,269.7280,0.0013
1.4506,11.4917,20.0447,269.7275,0.0016
1.5728,11.4917,20.0445,269.7274,0.0015
1.6951,11.4917,20.0444,269.7274,0.0011
1.8172,11.4917,20.0443,269.7275,0.0010
1.9381,11.4917,20.0441,269.7275,0.0010
2.2490,11.4917,20.0438,269.7274,0.0011
2.3704,11.4917,20.0436,269.7274,0.0013
2.4897,11.4918,20.0435,269.7274,0.0014
2.6102,11.4918,20.0433,269.7273,0.0014
2.7306,11.4916,20.0484,269.7244,0.0427
2.8501,11.4920,20.0701,269.7254,0.1810
3.1864,11.4910,20.1326,269.7010,0.1861
3.3073,11.4898,20.1756,269.6919,0.3557
3.4323,11.4892,20.2416,269.6750,0.5324
3.5533,11.4892,20.3202,269.6670,0.6498
3.6775,11.4887,20.4148,269.6592,0.7619
3.7993,11.4875,20.5307,269.6635,0.9514
3.9266,11.4873,20.6779,269.6561,1.1586
4.0521,11.4856,20.8661,269.6455,1.5010
4.1770,11.4857,21.0516,269.6296,1.4842
4.3104,11.4851,21.2642,269.6124,1.5969
4.4285,11.4823,21.4882,269.6579,1.8979
4.5547,11.4814,21.7458,269.6157,2.0428
4.6772,11.4798,21.9724,269.5818,1.8488
4.7982,11.4787,22.1999,269.5741,1.8801
4.9197,11.4760,22.4288,269.5796,1.8848
5.0397,11.4757,22.6556,269.5718,1.8911
5.1598,11.4738,22.8822,269.5734,1.8858
5.2788,11.4718,23.1104,269.5659,1.9178
5.3977,11.4709,23.3379,269.5650,1.9130
5.5153,11.4694,23.5657,269.5603,1.9370
5.6339,11.4676,23.7927,269.5423,1.9151
5.9452,11.4635,24.3621,269.5780,1.8287
6.0704,11.4627,24.5887,269.5578,1.8108
6.1885,11.4605,24.8164,269.5631,1.9272
6.3061,11.4588,25.0444,269.5601,1.9389
6.4240,11.4579,25.2677,269.5261,1.8950
6.8363,11.4512,26.0650,269.5252,1.9340
6.9683,11.4506,26.2920,269.5334,1.7198
7.0871,11.4491,26.5212,269.5267,1.9282
7.2069,11.4475,26.7498,269.5614,1.9080
7.3245,11.4445,26.9776,269.5518,1.9379
7.6969,11.4404,27.7030,269.5637,1.9478
7.8305,11.4380,27.9345,269.5594,1.7327
7.9497,11.4370,28.1618,269.5298,1.9080
8.0678,11.4360,28.3906,269.5303,1.9372
8.1872,11.4292,28.6117,269.6160,1.8516
8.5997,11.4157,29.4008,269.3788,1.9136
8.7294,11.4077,29.6219,269.5999,1.7123
8.8494,11.4018,29.8427,269.2531,1.8441
8.9698,11.4137,30.0820,269.2048,1.9917
9.0886,11.3914,30.2587,269.8758,1.5229
9.5016,11.4019,31.0577,270.0818,1.9356
9.6315,11.3880,31.3332,270.0504,2.1242
9.7509,11.4304,31.5328,269.7985,1.7098
9.8719,11.4329,31.7553,269.7033,1.8390
9.9932,11.3833,31.9586,269.9752,1.7256
10.3265,11.4385,32.5108,269.3785,1.6699
10.4644,11.4223,32.7716,270.2465,1.8993
10.5856,11.4272,32.9904,270.0847,1.8073
10.7082,11.4721,33.1623,268.4888,1.4670
10.8294,11.4505,33.3799,268.9209,1.8244
11.2030,11.4616,34.0962,268.4560,1.9175
11.3310,11.4488,34.3473,268.8270,1.9640
11.4543,11.4198,34.5669,268.2750,1.7974
11.5749,11.4206,34.7823,267.1204,1.7925
11.6964,11.3759,35.0197,266.1986,2.0084
12.0701,11.2530,35.6624,267.4045,1.7513
12.2008,11.2409,35.9239,267.4908,2.0060
12.3229,11.2732,36.1376,266.6116,1.7724
12.4451,11.2989,36.3915,266.1463,2.1176
12.5674,11.2957,36.6385,265.7794,2.0237
12.9406,11.2696,37.3070,266.8107,1.7952
13.0757,11.2411,37.5351,267.1398,1.7071
13.1974,11.2289,37.7558,267.4471,1.8255
13.3205,11.2190,37.9810,267.6975,1.8322
13.4440,11.1987,38.1933,268.1364,1.7266
13.8178,11.1702,38.9280,268.1445,1.9756
13.9519,11.1660,39.1999,268.1373,2.0264
14.0741,11.1539,39.4507,268.2490,2.0597
14.1959,11.1251,39.7022,268.0774,2.0920
14.3182,11.1613,39.8962,267.3326,1.6619
14.6919,11.3142,40.2926,262.2238,1.2474
14.8177,11.3165,40.3506,262.9981,0.5112
14.9407,11.3185,40.3558,262.7431,0.0602
15.0646,11.3232,40.3618,262.4486,0.0721
15.1877,11.3288,40.3686,262.1581,0.0811
15.5612,11.3505,40.3916,261.4003,0.0873
15.6877,11.3508,40.3944,261.3346,0.0305
15.8129,11.3470,40.3933,261.3818,0.0332
15.9355,11.3419,40.3918,261.4634,0.0462
16.0584,11.3370,40.3907,261.5421,0.0433
16.3918,11.3340,40.3891,261.6316,0.0103
16.5156,11.3346,40.3927,261.5817,0.0394
16.6392,11.3346,40.3961,261.5033,0.0371
16.7623,11.3337,40.3984,261.5001,0.0298
16.8851,11.3317,40.3997,261.5406,0.0274
17.2592,11.3267,40.3977,261.6964,0.0143
17.3810,11.3262,40.4009,261.6619,0.0399
17.5065,11.3255,40.4040,261.6028,0.0378
17.6298,11.3239,40.4068,261.5643,0.0399
17.7531,11.3214,40.4092,261.5739,0.0428
18.0864,11.3174,40.4073,261.6991,0.0135
18.2119,11.3151,40.4102,261.6727,0.0471
18.3351,11.3136,40.4130,261.6286,0.0408
18.4581,11.3115,40.4158,261.5921,0.0457
18.5823,11.3089,40.4185,261.5915,0.0480
18.9138,11.3067,40.4183,261.6700,0.0076
19.0404,11.2921,40.3955,262.9785,0.2590
19.1640,11.2230,40.3197,270.8083,0.8682
19.2882,11.1556,40.2538,277.5832,0.7668
19.4119,11.1528,40.2484,292.3695,0.4484
19.7873,11.2562,40.3844,323.6433,0.5064
19.9109,11.2992,40.4076,335.5714,0.6364
20.0338,11.3176,40.4353,336.2937,0.2768
20.1581,11.3210,40.4551,334.9032,0.1812
20.2810,11.3247,40.4701,333.5710,0.1376
20.6144,11.3223,40.4842,331.3960,0.0573
20.7370,11.3188,40.4795,331.1973,0.0550
20.8596,11.3131,40.4677,331.3232,0.1092
20.9839,11.3056,40.4520,331.7424,0.1418
21.1079,11.3031,40.4414,332.1125,0.0887
21.4413,11.2930,40.4130,332.2132,0.0947
21.5665,11.2900,40.4051,332.0747,0.0709
21.6909,11.2874,40.3977,331.8733,0.0689
21.8147,11.2865,40.3953,331.5703,0.0277
21.9389,11.2857,40.3959,331.1844,0.0281
22.2723,11.2871,40.4093,329.8943,0.0465
22.3960,11.2867,40.4136,329.4874,0.0371
22.5214,11.2878,40.4190,328.9509,0.0444
22.6450,11.2732,40.4051,328.7122,0.1686
22.7687,11.2511,40.3858,328.0680,0.2488
23.1347,11.2403,40.3936,327.0930,0.1087
23.2593,11.2355,40.4114,326.0257,0.2521
23.3827,11.2248,40.4060,326.9483,0.2050
23.5053,11.2257,40.4426,324.9247,0.3190
23.6289,11.2245,40.4755,322.7182,0.2999
23.9538,11.2215,40.5516,316.3201,0.2776
24.0795,11.2224,40.5493,316.4963,0.0229
24.2031,11.2227,40.5490,316.4648,0.0080
24.3272,11.2378,40.5527,316.4875,0.1454
24.4494,11.3010,40.5600,318.1730,0.7434
24.8047,11.6505,40.8119,320.5847,1.2810
24.9404,11.8226,40.9865,321.0297,1.8125
25.0637,11.9964,41.1064,320.6161,1.7192
25.1874,12.1598,41.2257,320.3317,1.6398
25.3115,12.3078,41.3605,320.7515,1.6239
25.6479,12.7174,41.6126,320.2260,1.4308
25.7880,12.9364,41.7551,320.7712,1.8706
25.9104,13.1314,41.9047,324.4125,2.0086
26.0341,13.2839,42.0915,324.4023,1.9605
26.1590,13.4173,42.2003,325.0009,1.4269
26.5176,13.9132,42.4755,324.4227,1.6011
26.6494,14.0814,42.6318,324.1136,1.7480
26.7723,14.2896,42.8155,323.4708,2.2750
26.8956,14.4616,42.9362,322.3177,1.7118
27.0181,14.6363,43.0495,321.8604,1.7051
27.3928,15.1521,43.3989,322.2294,1.6647
27.4978,15.2586,43.4469,321.8155,1.1761
27.6229,15.4038,43.5499,321.4352,1.4239
27.7467,15.5745,43.6878,321.5016,1.7739
27.8697,15.7514,43.8101,321.2400,1.7605
28.2846,16.3141,44.1571,317.8310,1.5995
28.4224,16.4642,44.2845,317.6739,1.4315
28.5465,16.6301,44.4279,318.6016,1.7680
28.6699,16.7806,44.5751,319.2227,1.7120
28.7923,16.9666,44.7029,318.8720,1.8486
29.1538,17.3460,44.9594,318.7690,1.2788
29.2914,17.5357,45.1604,320.2700,2.0203
29.4164,17.6490,45.2702,321.4645,1.2938
29.5503,17.6763,45.2720,320.8864,0.2128
29.6732,17.6748,45.2712,320.8878,0.0147
30.0196,17.6710,45.2697,320.9013,0.0126
30.1426,17.6697,45.2691,320.9068,0.0121
30.2662,17.6684,45.2685,320.9095,0.0121
30.3895,17.6674,45.2682,320.9130,0.0088
30.5130,17.6661,45.2677,320.9215,0.0114
30.8874,17.6632,45.2667,320.9368,0.0088
31.0124,17.6619,45.2663,320.9399,0.0111
31.1348,17.6609,45.2659,320.9427,0.0101
31.2575,17.6597,45.2655,320.9498,0.0111
31.3814,17.6585,45.2651,320.9576,0.0104
31.7551,17.6548,45.2638,320.9672,0.0113
31.8778,17.6535,45.2632,320.9698,0.0126
32.0018,17.6522,45.2627,320.9756,0.0113
32.1250,17.6511,45.2622,320.9789,0.0104
32.2484,17.6501,45.2618,320.9820,0.0095
32.6234,17.6463,45.2602,320.9982,0.0114
32.7485,17.6239,45.2527,319.9522,0.1895
32.8709,17.6078,45.2695,319.3754,0.1903
32.9950,17.6096,45.2686,320.4882,0.0170
33.1173,17.6219,45.2312,329.0455,0.4104
33.4917,17.5902,45.0939,17.1169,0.3913
33.6313,17.6108,45.1453,22.1444,0.4457
33.7549,17.6471,45.1728,21.6113,0.3718
33.8800,17.6754,45.1935,20.9470,0.2836
34.0105,17.6726,45.1944,21.2601,0.0344
34.3860,17.6652,45.1948,21.7969,0.0213
34.5134,17.6363,45.1451,22.1165,0.4522
34.6418,17.6281,45.1376,23.0309,0.0904
34.7682,17.6226,45.1333,23.5930,0.0625
34.8963,17.6235,45.1325,23.6355,0.0208
35.2296,17.6267,45.1316,23.6415,0.0128
35.3566,17.6280,45.1313,23.6652,0.0141
35.4795,17.6294,45.1311,23.6558,0.0132
35.6018,17.6307,45.1308,23.6370,0.0125
35.7250,17.6316,45.1305,23.6664,0.0106
36.0995,17.6353,45.1295,23.6798,0.0142
36.2307,17.6363,45.1293,23.7016,0.0149
36.3540,17.6377,45.1290,23.7012,0.0210
36.4821,17.6393,45.1285,23.6881,0.0165
36.6037,17.6408,45.1281,23.6900,0.0166
36.9726,17.6445,45.1274,23.7585,0.0164
37.0952,17.6454,45.1271,23.7796,0.0173
37.2179,17.6462,45.1272,23.7857,0.0185
37.3420,17.6478,45.1269,23.8111,0.0173
37.4648,17.6490,45.1267,23.8220,0.0144
37.8397,17.6532,45.1260,23.8464,0.0151
37.9631,17.7456,45.0811,24.2358,0.8372
38.0861,17.9199,45.0165,24.7035,1.5139
38.2090,18.1210,44.9470,25.1407,1.7308
38.3338,18.3639,44.8401,25.3249,2.1374
38.6672,18.9330,44.5883,24.2467,1.8734
38.7743,19.0182,44.5505,23.6959,0.8731
38.8979,19.0176,44.5514,23.6981,0.0100
39.0207,19.0168,44.5518,23.6988,0.0068
39.1431,19.0162,44.5521,23.7001,0.0060
39.2647,19.0155,44.5524,23.7012,0.0064
39.5662,19.0134,44.5533,23.7034,0.0076
39.6900,19.0126,44.5536,23.7051,0.0066
39.8119,19.0120,44.5539,23.7036,0.0056
39.9343,19.0115,44.5541,23.7035,0.0041
40.0560,19.0110,44.5543,23.7052,0.0048
40.4302,19.0094,44.5550,23.7063,0.0046
40.5521,19.0087,44.5554,23.7064,0.0063
40.6739,19.0083,44.5557,23.7075,0.0046
40.7959,19.0080,44.5559,23.7080,0.0029
40.9188,19.0076,44.5560,23.7080,0.0031
41.2928,19.0064,44.5567,23.7076,0.0039
41.4138,19.0059,44.5570,23.7077,0.0043
41.5350,19.0054,44.5573,23.7095,0.0049
41.6585,19.0048,44.5575,23.7098,0.0049
41.7800,19.0046,44.5580,23.7661,0.0046
42.1539,19.0052,44.5659,24.7344,0.0211
42.2772,19.0803,44.5388,23.9686,0.6581
42.3995,19.0893,44.5516,24.4071,0.1665
42.5210,19.0830,44.5530,24.0254,0.0528
42.6422,19.0723,44.5490,22.7314,0.0942
43.0162,19.0697,44.5483,22.3205,0.0078
43.1515,19.0522,44.5393,22.2365,0.1636
43.2739,19.0506,44.5481,22.2432,0.0871
43.3956,19.0507,44.5506,22.2376,0.0237
43.5181,19.0510,44.5505,22.2381,0.0029
43.8925,19.0518,44.5501,22.2384,0.0024
44.0241,19.0520,44.5500,22.2382,0.0019
44.1460,19.0522,44.5498,22.2374,0.0022
44.2720,19.0525,44.5497,22.2367,0.0028
44.3951,19.0528,44.5496,22.2370,0.0020
44.8096,19.0532,44.5494,22.2377,0.0011
44.9317,19.0532,44.5493,22.2382,0.0006
45.0549,19.0533,44.5493,22.2382,0.0004
45.1767,19.0533,44.5493,22.2382,0.0003
45.2979,19.0533,44.5493,22.2383,0.0002
45.6718,19.0534,44.5493,22.2386,0.0001
45.7945,19.0534,44.5493,22.2383,0.0000
45.9162,19.0534,44.5493,22.2383,0.0000
46.0387,19.0534,44.5493,22.2383,0.0000
46.1619,19.0540,44.5512,22.4692,0.0164
46.5358,19.0573,44.5540,22.9055,0.0117
