time,x,z,rotY,speed
0.0000,11.4919,20.0402,269.7450,0.0000
0.3333,11.4919,20.0402,269.7450,0.0000
0.4427,11.4919,20.0402,269.7450,0.0000
0.5764,11.4919,20.0402,269.7450,0.0000
0.7072,11.4919,20.0402,269.7450,0.0000
1.1362,11.4919,20.0402,269.7450,0.0000
1.2490,11.4919,20.0402,269.7450,0.0000
1.3812,11.4919,20.0402,269.7449,0.0000
1.5093,11.4919,20.0402,269.7450,0.0000
1.6361,11.4919,20.0402,269.7449,0.0000
1.9694,11.4919,20.0402,269.7450,0.0000
2.1047,11.4919,20.0402,269.7450,0.0000
2.2485,11.4919,20.0402,269.7450,0.0000
2.3799,11.4919,20.0402,269.7450,0.0000
2.7320,11.4919,20.0402,269.7449,0.0000
2.8394,11.4919,20.0402,269.7450,0.0000
2.9682,11.4919,20.0402,269.7450,0.0000
3.0962,11.4919,20.0402,269.7450,0.0000
3.2268,11.4919,20.0402,269.7450,0.0000
3.5484,11.4919,20.0402,269.7450,0.0000
3.6559,11.4919,20.0402,269.7450,0.0000
3.7859,11.4919,20.0402,269.7449,0.0000
3.9128,11.4919,20.0402,269.7450,0.0000
4.3307,11.4919,20.0402,269.7449,0.0000
4.4474,11.4919,20.0402,269.7450,0.0000
4.5724,11.4919,20.0402,269.7450,0.0000
4.6981,11.4919,20.0402,269.7450,0.0000
4.8247,11.4919,20.0402,269.7449,0.0000
5.1580,11.4916,20.0967,269.7576,0.1696
5.2703,11.4911,20.1186,269.7607,0.1946
5.3978,11.4909,20.1467,269.7640,0.2205
5.5325,11.4910,20.1970,269.7551,0.3732
5.6667,11.4898,20.2376,269.7638,0.3083
6.0001,11.4890,20.4225,269.8139,0.5545
6.1366,11.4884,20.5238,269.8401,0.7426
6.2704,11.4881,20.6598,269.8506,1.0181
6.3972,11.4879,20.7848,269.8446,0.9858
6.8194,11.4869,21.2570,269.8740,1.1187
6.9609,11.4866,21.4120,269.8791,1.0957
7.0886,11.4853,21.5664,269.8811,1.2093
