time,x,z,rotY,speed
0.0000,11.4917,20.0446,269.7283,0.0000
0.1228,11.4917,20.0445,269.7284,0.0008
0.2486,11.4917,20.0444,269.7284,0.0007
0.3699,11.4917,20.0443,269.7284,0.0006
0.4940,11.4917,20.0442,269.7284,0.0008
0.6204,11.4917,20.0441,269.7284,0.0009
0.7454,11.4917,20.0440,269.7284,0.0008
0.8682,11.4917,20.0439,269.7283,0.0009
0.9907,11.4917,20.0438,269.7283,0.0010
1.1186,11.4918,20.0436,269.7283,0.0011
1.2476,11.4918,20.0435,269.7282,0.0010
1.3686,11.4918,20.0434,269.7282,0.0011
1.4895,11.4918,20.0432,269.7281,0.0012
1.6114,11.4918,20.0431,269.7281,0.0013
1.7447,11.4918,20.0429,269.7281,0.0015
1.8674,11.4918,20.0427,269.7280,0.0014
1.9892,11.4918,20.0437,269.7277,0.0085
2.1121,11.4918,20.0517,269.7293,0.0647
2.2331,11.4921,20.0677,269.7340,0.1323
2.3546,11.4915,20.0897,269.7328,0.1818
2.4760,11.4909,20.1158,269.7300,0.2144
2.5965,11.4909,20.1379,269.7237,0.1838
2.7183,11.4906,20.1602,269.7140,0.1835
2.8393,11.4900,20.1888,269.7073,0.2363
2.9609,11.4900,20.2246,269.6877,0.2999
3.0890,11.4893,20.2653,269.7050,0.3179
3.2143,11.4888,20.3098,269.7184,0.3554
3.3355,11.4885,20.3790,269.7270,0.5710
3.4619,11.4878,20.4459,269.7542,0.5289
3.5842,11.4874,20.5127,269.7766,0.5464
3.7057,11.4864,20.5800,269.7960,0.5543
3.8263,11.4865,20.6555,269.8189,0.6314
3.9481,11.4863,20.7228,269.8184,0.5520
4.0710,11.4861,20.7898,269.8198,0.5458
4.1936,11.4853,20.8774,269.7282,0.7140
4.3225,11.4850,20.9817,269.7180,0.8088
4.4451,11.4830,21.0713,269.7203,0.7316
4.5660,11.4830,21.1768,269.7175,0.8751
4.6948,11.4835,21.3104,269.7189,1.0375
4.8167,11.4823,21.4285,269.7080,0.9681
4.9447,11.4816,21.5607,269.7057,1.0337
5.0661,11.4813,21.6869,269.6938,1.0422
5.1887,11.4807,21.8217,269.6839,1.0993
5.3105,11.4797,21.9678,269.6555,1.1995
5.4321,11.4797,22.1219,269.6346,1.2669
5.5616,11.4772,22.3049,269.6257,1.4137
5.6873,11.4777,22.4829,269.6295,1.4166
5.8164,11.4761,22.6931,269.6149,1.6282
5.9400,11.4749,22.8715,269.6159,1.4428
6.0627,11.4745,23.0513,269.6071,1.4654
6.1849,11.4733,23.2361,269.5883,1.5126
6.3074,11.4722,23.4397,269.5320,1.6613
6.4309,11.4710,23.6445,269.5404,1.6594
6.5530,11.4690,23.8488,269.5199,1.6736
6.6747,11.4689,24.0899,269.5171,1.9806
6.7962,11.4672,24.2955,269.4936,1.6917
6.9174,11.4665,24.5018,269.5028,1.7026
7.0375,11.4654,24.7050,269.4853,1.6923
7.1616,11.4640,24.9068,267.4161,1.6257
7.2843,11.4506,25.1111,265.1869,1.6689
7.4060,11.4357,25.3143,265.2507,1.6732
7.5273,11.4175,25.5189,265.2453,1.6941
7.6494,11.4004,25.7233,265.2339,1.6810
7.7717,11.3833,25.9278,265.1904,1.6762
7.8945,11.3662,26.1333,265.2016,1.6792
8.0242,11.3473,26.3718,265.1859,1.8456
8.1659,11.3193,26.6100,263.0852,1.6926
8.2873,11.2798,26.8185,254.0609,1.7493
8.4121,11.2194,27.0216,247.7704,1.6971
8.5351,11.1291,27.2394,247.6737,1.9163
8.6614,11.0547,27.4215,247.7048,1.5582
8.7853,10.9787,27.6053,247.8418,1.6046
8.9102,10.9101,27.7898,252.1537,1.5765
9.0367,10.8640,27.9535,261.2732,1.3442
9.1652,10.8511,28.1030,269.1766,1.1677
9.2888,10.8571,28.2843,271.0040,1.4689
9.4107,10.8681,28.4944,271.6237,1.7265
9.5332,10.8969,28.6950,276.8726,1.6553
9.6614,10.9261,28.9016,287.2607,1.6280
9.7846,10.9859,29.0886,288.8603,1.5930
9.9088,11.0562,29.2810,289.0600,1.6501
10.0358,11.1362,29.4728,293.9251,1.6384
10.1628,11.2196,29.6140,300.7299,1.2929
10.2884,11.3207,29.7868,302.0367,1.5935
10.4147,11.4306,29.9861,301.4155,1.8056
10.5419,11.5432,30.1328,300.8206,1.4538
10.6663,11.6491,30.2719,300.7719,1.4222
10.7991,11.7553,30.4768,301.4713,1.7376
10.9352,11.8722,30.6817,300.4564,1.7338
11.0596,11.9534,30.8330,294.0880,1.3832
11.1838,12.0399,30.9568,283.8725,1.2569
11.3047,12.1568,31.1032,273.8174,1.5500
11.4247,12.2209,31.2219,264.2318,1.1240
11.5458,12.2397,31.3810,259.9874,1.3232
11.6657,12.1681,31.5783,259.5907,1.7540
11.7871,12.1427,31.7760,259.3001,1.6534
11.9091,12.1441,31.9554,259.1508,1.4838
12.0307,12.1001,32.1183,259.3236,1.4033
12.1547,12.0251,32.3151,261.1802,1.7001
12.2801,12.0091,32.5015,267.0536,1.4935
12.4046,12.0061,32.6989,271.7953,1.5859
12.5254,12.0399,32.8906,272.7042,1.6248
12.6466,12.0754,33.0739,275.0948,1.5415
12.7703,12.0605,33.2591,279.4694,1.5080
12.8927,12.1150,33.4626,280.3342,1.7214
13.0175,12.1460,33.6805,280.1998,1.7648
13.1406,12.1698,33.8615,280.7429,1.4956
13.2652,12.1997,34.0265,285.9697,1.3529
13.3882,12.2477,34.1627,293.0505,1.1887
13.5098,12.3021,34.3058,293.3361,1.2601
13.6320,12.3905,34.4971,295.4617,1.7295
13.7547,12.5019,34.7280,302.8615,2.1073
13.8803,12.6041,34.8114,306.4934,1.0949
14.0032,12.7296,34.9430,306.3207,1.4940
14.1299,12.8410,35.0975,307.3524,1.5047
14.2549,12.9361,35.3153,313.5486,1.9560
14.3801,13.0721,35.4751,315.3743,1.6949
14.5015,13.2123,35.6061,315.9134,1.5975
14.6250,13.3608,35.7411,315.6084,1.6308
14.7478,13.4526,35.8663,315.5131,1.2662
14.8735,13.5407,35.9792,315.3921,1.1397
15.0019,13.6745,36.1029,315.7887,1.4316
15.1292,13.7938,36.2463,315.7901,1.4663
15.2531,13.9282,36.3811,315.8035,1.5391
15.3812,14.0717,36.5230,315.1077,1.6258
15.5044,14.2006,36.6608,315.2461,1.5625
15.6269,14.3574,36.8057,314.8143,1.7417
15.7522,14.5166,36.9570,314.3487,1.7549
15.8782,14.6909,37.1634,306.4271,2.1452
15.9992,14.8279,37.3368,293.6665,1.8271
16.1255,14.9426,37.4828,289.0489,1.4730
16.2532,15.0157,37.6213,289.2076,1.2281
16.3776,15.0993,37.8185,290.0046,1.7228
16.5001,15.1481,38.0354,290.5430,1.8408
16.6228,15.1983,38.2047,290.5574,1.4397
16.7459,15.3113,38.3328,290.3973,1.3889
16.8689,15.3573,38.5047,290.5394,1.4756
16.9917,15.4209,38.7028,291.1490,1.7001
17.1184,15.4861,38.9452,291.8006,2.0275
17.2453,15.5813,39.1185,291.6941,1.5662
17.3721,15.6606,39.2762,291.7073,1.4153
17.4973,15.7168,39.4616,291.7991,1.5927
17.6235,15.7868,39.6363,290.8840,1.5002
17.7458,15.8780,39.8248,285.1920,1.7565
17.8705,15.9419,40.0046,279.3508,1.5366
17.9926,15.9913,40.1770,277.7185,1.5085
18.1143,16.0286,40.3243,278.2468,1.3020
18.2353,16.0901,40.5124,278.3822,1.6368
18.3609,16.1110,40.6890,279.4140,1.4232
18.4830,16.1530,40.9046,279.8425,1.7994
18.6044,16.1968,41.1241,279.5098,1.8483
18.7237,16.1626,41.3559,279.6184,1.9707
18.8457,16.1439,41.5712,279.2054,1.7747
18.9658,16.1756,41.7616,278.8754,1.6071
19.0888,16.1927,41.9162,283.5296,1.3193
19.2115,16.2175,42.0006,293.2848,0.7594
19.3339,16.2385,42.1317,296.2881,1.0921
19.4565,16.2949,42.3798,294.2078,2.0778
19.5772,16.3617,42.6272,294.0715,2.1441
19.7018,16.4885,42.6965,299.2882,1.1891
19.8220,16.6047,42.8511,302.9460,1.6266
19.9475,16.7801,43.0086,304.7092,1.8847
20.0722,16.9377,43.1338,310.5369,1.6160
20.1953,17.0453,43.2283,318.9652,1.1853
20.3199,17.1101,43.2908,323.6244,0.7568
20.4430,17.2016,43.4238,324.7440,1.3868
20.5695,17.3341,43.5490,324.6508,1.4825
20.7011,17.5179,43.6322,324.7070,1.5342
20.8307,17.6754,43.6621,323.8436,1.2436
20.9641,17.8725,43.7504,329.0624,1.6437
21.0959,18.0327,43.7893,338.8102,1.2511
21.2320,18.1123,43.8097,347.0201,0.6889
21.3594,18.2616,43.9047,353.0726,1.3911
21.4894,18.4021,43.9889,354.1238,1.2611
21.6265,18.6193,44.0260,353.9322,1.6081
21.7356,18.8313,44.0049,352.9979,1.9650
21.8677,19.0384,43.9994,357.8763,1.5709
22.0033,19.2338,43.9803,10.9042,1.4472
22.1447,19.4047,43.9407,28.1200,1.2700
22.2772,19.5124,43.9121,35.8520,0.8894
22.4053,19.6224,43.8132,37.6107,1.1548
22.5314,19.7662,43.6823,37.9090,1.5428
22.6587,19.9370,43.5286,37.3454,1.8292
22.7864,20.0945,43.4165,36.9970,1.5153
22.9145,20.2578,43.3043,36.9286,1.5498
23.0416,20.4649,43.1931,32.6454,1.8506
23.1702,20.6076,43.0994,21.8642,1.3282
23.3070,20.7260,43.0257,14.0720,1.0482
23.4378,20.8688,42.9416,13.7229,1.2774
23.5701,21.0450,42.8827,13.5380,1.4084
23.6961,21.2865,42.8051,9.2469,2.0696
23.8265,21.4892,42.8098,1.1023,1.5803
23.9547,21.7659,42.8285,357.3356,2.1632
24.0805,21.9721,42.8326,357.4062,1.6407
24.2055,22.1644,42.8395,357.9518,1.5433
24.3284,22.3204,42.8726,357.6407,1.2978
24.4529,22.4819,42.8815,357.4017,1.3108
24.5795,22.6181,42.8682,357.1810,1.1116
24.7034,22.7582,42.8587,357.3321,1.1506
24.8264,22.9478,42.8846,358.5395,1.5640
24.9543,23.1603,42.9007,358.9375,1.6719
25.0795,23.3420,42.8947,358.5292,1.5134
25.2040,23.4791,42.9262,359.5773,1.2402
25.3275,23.6090,42.9604,0.7730,1.2279
25.4529,23.7575,42.9385,357.6502,1.2548
25.5786,23.9157,42.9161,352.9621,1.3268
25.7044,24.0614,42.9352,352.8814,1.2892
25.8285,24.2297,42.9674,353.3412,1.5553
25.9555,24.4218,43.0020,353.7155,1.7354
26.0830,24.5810,43.0258,353.7065,1.4620
26.2107,24.7402,43.0491,353.6659,1.4510
26.3381,24.9286,43.0767,353.7150,1.7226
26.4652,25.0900,43.0993,353.6122,1.4763
26.5919,25.2499,43.1252,353.6712,1.4675
26.7200,25.4357,43.1521,353.6161,1.7000
26.8471,25.5977,43.1770,353.6982,1.4760
26.9751,25.7821,43.2031,353.7412,1.6743
27.1024,25.9403,43.2251,353.7050,1.4493
27.2285,26.1027,43.2512,353.8925,1.4936
27.3548,26.2913,43.2763,353.7445,1.7337
27.4810,26.4532,43.3014,353.8148,1.5030
27.6067,26.6143,43.3244,353.7858,1.4931
27.7320,26.7729,43.3468,353.7460,1.4717
27.8575,26.9600,43.3750,353.7636,1.7373
27.9821,27.1138,43.3993,353.7581,1.4365
28.1078,27.2730,43.4196,353.5786,1.4632
28.2314,27.4327,43.4452,353.5829,1.5094
28.3556,27.6160,43.4725,353.4317,1.7272
28.4796,27.7750,43.4987,353.5064,1.4872
28.6029,27.9369,43.5233,353.5068,1.5332
28.7253,28.0976,43.5478,353.5175,1.5323
28.8473,28.2590,43.5717,353.4846,1.5383
28.9694,28.4121,43.5997,353.6925,1.4950
29.0914,28.5471,43.6189,353.4317,1.3378
29.2136,28.6978,43.6445,353.1197,1.4371
29.3345,28.8929,43.6826,352.4000,1.7315
29.4573,29.1432,43.7113,351.5301,2.1647
29.5818,29.3489,43.7627,352.3491,1.8067
29.7098,29.5668,43.7837,351.9408,1.7805
29.8441,29.8269,43.8093,351.8752,1.9538
29.9775,30.0831,43.8462,351.8305,1.9399
30.1135,30.3077,43.8849,351.6547,1.6760
30.2498,30.5446,43.9217,351.6308,1.7605
30.3867,30.7707,43.9436,351.7353,1.6600
30.5224,30.9920,43.9810,351.6635,1.6557
30.6544,31.1818,44.0143,351.6184,1.4644
30.7869,31.4076,44.0471,351.4764,1.7223
30.9179,31.6328,44.0799,351.4003,1.7385
31.0496,31.8315,44.0972,351.3278,1.5155
31.1812,32.0530,44.1360,351.2683,1.7097
31.3131,32.2527,44.1668,351.2479,1.5311
31.4488,32.4809,44.1980,351.3308,1.6990
31.5853,32.7059,44.2168,351.2799,1.6616
31.7160,32.9295,44.2400,355.1693,1.7228
31.8529,33.1181,44.2532,3.3188,1.3842
31.9854,33.3341,44.2298,14.1976,1.6394
32.1262,33.5373,44.1692,15.5203,1.5173
32.2660,33.7550,44.1114,15.8354,1.6202
32.4026,33.9339,44.0267,21.1918,1.4493
32.5328,34.0385,43.9404,27.4404,1.0463
32.6665,34.2298,43.8117,29.4620,1.7250
32.8065,34.4715,43.6695,29.7962,2.0071
32.9451,34.6914,43.5466,29.8416,1.8174
33.0790,34.9032,43.4151,29.9036,1.8617
33.1902,35.0628,43.3310,29.9325,1.6360
33.2970,35.2466,43.2410,31.6479,1.9235
33.3985,35.3850,43.1670,38.0837,1.5457
33.4990,35.5210,43.0620,47.1802,1.7103
33.6436,35.6697,42.9089,50.6468,1.4867
33.7956,35.8389,42.7108,50.6310,1.7136
33.9472,35.9715,42.5272,50.6964,1.4947
34.0474,36.0758,42.3910,53.6972,1.7142
34.1914,36.2275,42.1866,65.9160,1.7684
34.3389,36.3318,41.9540,70.8807,1.7300
34.4886,36.4097,41.7380,70.8492,1.5347
34.6364,36.4907,41.4949,70.8305,1.7339
34.7871,36.5672,41.2710,70.7225,1.5705
34.8877,36.6150,41.1169,70.7454,1.6034
34.9884,36.6714,40.9566,70.7748,1.6886
35.0901,36.7206,40.7988,70.6774,1.6275
35.1913,36.7695,40.6531,70.4453,1.5277
35.3336,36.8516,40.4354,70.4520,1.6359
35.4672,36.9199,40.2133,70.4380,1.7426
35.6047,36.9988,39.9946,70.6487,1.6916
35.7389,37.0883,39.7825,70.8590,1.7287
35.8745,37.1524,39.5904,70.8637,1.4947
36.0108,37.2264,39.3683,71.2024,1.7191
36.1501,37.3051,39.1487,71.2783,1.6765
36.2873,37.3893,38.9311,71.5552,1.7089
36.4247,37.4536,38.7133,71.4032,1.6596
36.5594,37.5188,38.5129,71.1476,1.5748
36.6960,37.5964,38.3045,71.5054,1.6323
36.8291,37.6587,38.1094,71.2705,1.5405
36.9685,37.7267,37.8746,70.9576,1.7570
37.1066,37.7878,37.6321,70.7263,1.8168
37.2399,37.8562,37.4124,70.3693,1.7344
37.3707,37.9242,37.2239,70.3844,1.5318
37.5096,37.9955,37.0135,70.6331,1.6050
37.6460,38.0548,36.8089,70.9423,1.5613
37.7835,38.1150,36.6029,71.0039,1.5699
37.9142,38.1727,36.4356,71.2869,1.3651
38.0489,38.2598,36.2177,71.6728,1.7465
38.1851,38.3468,35.9842,71.9542,1.8306
38.3244,38.4405,35.7473,72.2269,1.8305
38.4649,38.5333,35.5154,72.2327,1.7774
38.6067,38.6210,35.2871,72.3345,1.7291
38.7470,38.7038,35.0753,73.6000,1.6256
38.8885,38.7965,34.8975,77.1833,1.4263
39.0203,38.8648,34.7664,86.7043,1.1218
39.1520,38.8861,34.6425,94.9802,0.9549
39.2834,38.8805,34.4455,96.2635,1.5027
39.4133,38.8487,34.2682,95.7415,1.4129
39.5468,38.8292,34.0705,95.7342,1.5520
39.6771,38.8268,33.8813,96.2051,1.5007
39.8122,38.8052,33.6980,95.9047,1.3725
39.9514,38.7690,33.4413,95.7702,1.8702
40.0859,38.7583,33.1990,96.1311,1.8344
40.2174,38.7347,32.9517,96.1853,1.9365
40.3516,38.7278,32.7452,96.3230,1.5459
40.4864,38.6959,32.5225,99.8649,1.6697
40.6250,38.6831,32.3385,111.2089,1.3334
40.7560,38.6358,32.1445,117.0501,1.5374
40.8931,38.5544,31.9835,116.8703,1.3341
41.0234,38.4724,31.7817,116.8424,1.6886
41.1534,38.3759,31.6124,116.4179,1.4984
41.2898,38.2507,31.4121,115.6200,1.7323
41.4226,38.1205,31.2482,109.7833,1.6050
41.5480,38.0357,31.0740,100.8092,1.5511
41.6869,37.9846,30.8502,98.5153,1.6637
41.8126,37.9504,30.6657,98.4332,1.4973
41.9401,37.9027,30.4160,98.2773,1.9949
42.0706,37.8578,30.2098,98.1127,1.6415
42.1958,37.8231,29.9321,98.6544,2.2357
42.3253,37.8328,29.7081,100.6712,1.7373
42.4549,37.8209,29.4799,100.6919,1.7727
42.5840,37.8090,29.2956,100.8141,1.4313
42.7167,37.7824,29.1212,102.4393,1.3293
42.8464,37.7149,28.9260,110.1647,1.5930
42.9764,37.6563,28.7310,113.7288,1.5673
43.1153,37.5699,28.5098,113.9130,1.7274
43.2510,37.4770,28.3191,113.8701,1.5822
43.3839,37.3748,28.1023,113.6184,1.8123
43.5149,37.2763,27.9080,113.5951,1.6895
43.6474,37.2018,27.7404,113.6865,1.4105
43.7750,37.1004,27.5395,113.9378,1.7650
43.9061,36.9968,27.3721,113.5931,1.5033
44.0346,36.9319,27.1786,114.1074,1.6236
44.1631,36.8395,26.9608,114.4047,1.8426
44.2937,36.7563,26.7632,114.6270,1.6457
44.4261,36.6389,26.5479,114.4576,1.8550
44.5663,36.5510,26.3417,114.7297,1.6303
44.6903,36.4999,26.1675,108.9922,1.4638
44.8158,36.4595,26.0070,105.2055,1.3234
44.9466,36.4088,25.8504,104.8882,1.2608
45.0791,36.3783,25.6580,105.3287,1.5000
45.2129,36.3152,25.4626,105.3668,1.5352
45.3467,36.2461,25.2392,105.1446,1.7509
45.4773,36.1844,25.0001,105.2432,1.9149
45.6088,36.1094,24.7983,104.3009,1.6599
45.7354,36.0325,24.5726,95.3820,1.8857
45.8625,36.0485,24.4062,80.3288,1.3336
