time,x,z,rotY,speed
0.0000,11.4919,20.0415,269.7192,0.0000
0.1080,11.4918,20.0415,269.7193,0.0002
0.2465,11.4919,20.0415,269.7192,0.0004
0.3807,11.4919,20.0414,269.7191,0.0005
0.5146,11.4919,20.0413,269.7192,0.0006
0.6479,11.4919,20.0413,269.7191,0.0006
0.7806,11.4919,20.0412,269.7192,0.0005
0.9141,11.4919,20.0411,269.7192,0.0007
1.0482,11.4919,20.0410,269.7192,0.0007
1.1814,11.4919,20.0409,269.7191,0.0007
1.3153,11.4919,20.0408,269.7191,0.0008
1.4519,11.4919,20.0407,269.7191,0.0009
1.5900,11.4919,20.0406,269.7191,0.0009
1.7260,11.4920,20.0405,269.7191,0.0008
1.8607,11.4920,20.0403,269.7191,0.0010
1.9949,11.4920,20.0402,269.7191,0.0011
2.1290,11.4920,20.0400,269.7191,0.0011
2.2640,11.4920,20.0399,269.7191,0.0010
2.3978,11.4920,20.0397,269.7191,0.0012
2.5333,11.4920,20.0396,269.7191,0.0013
2.6678,11.4921,20.0394,269.7191,0.0014
2.8013,11.4921,20.0392,269.7191,0.0013
2.9363,11.4921,20.0390,269.7191,0.0015
3.0709,11.4921,20.0388,269.7191,0.0017
3.2055,11.4921,20.0386,269.7190,0.0015
3.3395,11.4922,20.0383,269.7190,0.0018
3.4726,11.4922,20.0381,269.7190,0.0020
3.6062,11.4922,20.0378,269.7190,0.0018
3.7401,11.4922,20.0376,269.7190,0.0022
3.8746,11.4922,20.0373,269.7191,0.0016
4.0089,11.4923,20.0371,269.7191,0.0016
4.1428,11.4922,20.0372,269.7193,0.0006
4.2774,11.4922,20.0375,269.7192,0.0020
4.4111,11.4919,20.0569,269.7182,0.1458
4.5460,11.4912,20.0792,269.7072,0.1653
4.6810,11.4910,20.1179,269.6907,0.2867
4.8160,11.4907,20.1689,269.6714,0.3775
4.9544,11.4901,20.2337,269.6373,0.4722
5.0918,11.4892,20.3242,269.6301,0.6591
5.2269,11.4890,20.4168,269.6193,0.6854
5.3658,11.4874,20.5483,269.6094,0.9469
5.5013,11.4856,20.7152,269.6346,1.2342
5.6398,11.4854,20.8979,269.6483,1.3193
5.7782,11.4836,21.1006,269.6663,1.4646
5.9159,11.4836,21.3383,269.7370,1.7279
6.0177,11.4807,21.5220,269.7123,1.8054
6.1522,11.4812,21.7723,269.7449,1.8617
6.2855,11.4795,21.9944,269.7255,1.6664
6.4186,11.4799,22.2516,269.7297,1.9332
6.5515,11.4783,22.5089,269.7540,1.9356
6.6863,11.4781,22.7299,269.7511,1.6388
6.8207,11.4771,22.9883,269.7354,1.9227
6.9532,11.4757,23.2474,269.7359,1.9568
7.0844,11.4754,23.4684,269.7433,1.6845
7.2174,11.4731,23.7269,269.7388,1.9431
7.3510,11.4727,23.9842,269.7130,1.9260
7.4825,11.4723,24.2047,269.7273,1.6761
7.6138,11.4710,24.4616,269.7335,1.9573
7.7459,11.4702,24.6821,269.7161,1.6693
7.8790,11.4694,24.9404,269.6790,1.9400
8.0116,11.4681,25.0854,269.6010,1.0950
8.1430,11.4680,25.0880,269.5793,0.0200
8.2757,11.4679,25.0883,269.5793,0.0028
8.4094,11.4679,25.0887,269.5791,0.0029
8.5427,11.4679,25.0891,269.5789,0.0026
8.6744,11.4679,25.0895,269.5788,0.0032
8.8137,11.4677,25.0893,269.5786,0.0019
8.9154,11.4677,25.0893,269.5787,0.0001
9.0466,11.4677,25.0893,269.5786,0.0001
9.1776,11.4677,25.0893,269.5786,0.0001
9.3085,11.4677,25.0893,269.5786,0.0001
9.4388,11.4677,25.0893,269.5786,0.0001
9.5690,11.4677,25.0893,269.5786,0.0001
9.7009,11.4677,25.0893,269.5786,0.0001
9.8287,11.4677,25.0892,269.5787,0.0001
9.9598,11.4677,25.0892,269.5787,0.0001
10.0970,11.4677,25.0892,269.5787,0.0001
10.2298,11.4677,25.0892,269.5787,0.0002
10.3684,11.4678,25.0892,269.5787,0.0002
10.5054,11.4678,25.0891,269.5788,0.0001
10.6386,11.4678,25.0891,269.5786,0.0002
10.7710,11.4678,25.0891,269.5788,0.0002
10.9030,11.4678,25.0891,269.5787,0.0002
11.0839,11.4678,25.0890,269.5788,0.0002
11.2151,11.4678,25.0890,269.5787,0.0002
11.3467,11.4678,25.0890,269.5788,0.0002
11.5045,11.4680,25.1540,269.5033,0.4124
11.6348,11.4648,25.3964,269.3990,1.8615
11.7660,11.4638,25.6175,269.3889,1.6840
11.8971,11.4602,25.8744,269.4056,1.9592
12.0148,11.4619,26.0917,272.9335,1.8482
12.1487,11.4823,26.3199,278.0807,1.7110
12.2825,11.5245,26.5334,278.1986,1.6267
