time,x,z,rotY,speed
0.0000,11.4918,20.0387,359.6935,0.0000
0.1271,11.4918,20.0386,359.6935,0.0004
0.2541,11.4918,20.0385,359.6935,0.0006
0.3702,11.4918,20.0385,359.6935,0.0006
0.4904,11.4918,20.0384,359.6935,0.0006
0.6098,11.4918,20.0383,359.6936,0.0007
0.7294,11.4918,20.0382,359.6935,0.0007
0.8493,11.4918,20.0381,359.6935,0.0007
1.1404,11.4919,20.0379,359.6935,0.0008
1.2572,11.4919,20.0378,359.6935,0.0007
1.3799,11.4919,20.0377,359.6935,0.0010
1.5004,11.4919,20.0376,359.6935,0.0009
1.6295,11.4919,20.0375,359.6936,0.0009
2.0039,11.4919,20.0371,359.6935,0.0010
2.1262,11.4920,20.0370,359.6935,0.0010
2.2524,11.4920,20.0369,359.6935,0.0011
2.3738,11.4920,20.0367,359.6935,0.0011
2.4927,11.4920,20.0366,359.6935,0.0012
2.9060,11.4921,20.0360,359.6936,0.0013
3.0272,11.4921,20.0359,359.6935,0.0014
3.1476,11.4921,20.0357,359.6935,0.0015
3.2694,11.4921,20.0355,359.6936,0.0015
3.3907,11.4921,20.0353,359.6935,0.0016
3.7644,11.4922,20.0346,359.6935,0.0018
3.8891,11.4921,20.0348,359.6935,0.0019
4.0081,11.4921,20.0351,359.6935,0.0019
4.1275,11.4921,20.0353,359.6935,0.0020
4.2515,11.4921,20.0356,359.6935,0.0020
4.6616,11.4920,20.0365,359.6936,0.0023
4.7808,11.4920,20.0368,359.6936,0.0024
4.9019,11.4920,20.0371,359.6937,0.0024
5.0205,11.4920,20.0374,359.6936,0.0026
5.1402,11.4920,20.0377,359.6937,0.0027
5.5542,11.4918,20.0386,359.6936,0.0023
5.6733,11.4918,20.0386,359.6935,0.0000
5.7925,11.4918,20.0386,359.6935,0.0000
5.9117,11.4918,20.0386,359.6935,0.0000
6.0315,11.4918,20.0386,359.6935,0.0000
6.4045,11.4918,20.0386,359.6935,0.0000
6.5251,11.4918,20.0386,359.6935,0.0000
6.6453,11.4918,20.0386,359.6934,0.0000
6.7642,11.4918,20.0386,359.6935,0.0000
6.8838,11.4918,20.0386,359.6935,0.0000
7.2971,11.4918,20.0384,359.6935,0.0005
7.4170,11.4918,20.0384,359.6935,0.0007
7.5362,11.4918,20.0383,359.6935,0.0007
7.6546,11.4916,20.0403,359.6939,0.0171
7.7749,11.4918,20.0543,359.6931,0.1164
8.1883,11.4908,20.1330,359.6523,0.1904
8.3122,11.4893,20.1764,359.6315,0.3506
8.4362,11.4896,20.2203,359.6099,0.3589
8.5613,11.4889,20.2943,359.6029,0.5916
8.6883,11.4878,20.3751,359.5919,0.6366
9.0614,11.4856,20.6686,359.6359,0.7873
9.1954,11.4838,20.7804,359.6143,0.8339
9.3179,11.4837,20.9132,359.6069,1.0837
9.4384,11.4836,21.0504,359.5894,1.1388
9.5633,11.4820,21.2415,359.6292,1.5339
9.9757,11.4804,21.7589,359.5889,1.2547
10.1037,11.4785,21.9675,359.5834,1.6299
10.2276,11.4771,22.1469,359.6090,1.4477
10.3484,11.4763,22.3409,359.5756,1.6055
10.4735,11.4739,22.5454,359.5559,1.6360
10.8867,11.4680,23.2582,359.5234,1.7251
11.0187,11.4682,23.4858,359.5006,1.7245
11.1407,11.4667,23.7566,359.5139,2.2193
11.2590,11.4641,23.9483,359.5425,1.6201
11.3777,11.4634,24.1789,359.5371,1.9442
11.7508,11.4578,24.9095,359.4926,1.9582
11.8836,11.4560,25.1807,359.5046,2.0418
12.0014,11.4547,25.4120,359.5097,1.9634
12.1188,11.4520,25.6051,359.4799,1.6440
12.2378,11.4508,25.8330,359.4543,1.9161
12.6502,11.4432,26.6397,359.4596,1.9559
12.7833,11.4407,26.9076,359.4521,2.0143
12.9031,11.4391,27.1384,359.4488,1.9250
13.0212,11.4387,27.3676,359.4424,1.9414
13.1396,11.4355,27.5976,359.4566,1.9442
13.5520,11.4284,28.3633,359.4743,1.8564
13.6831,11.4204,28.6237,359.5824,1.9881
13.8035,11.4120,28.8426,359.6289,1.8213
13.9229,11.4170,29.0722,359.4367,1.9227
14.0416,11.4184,29.3004,359.4573,1.9223
14.4149,11.3962,29.9647,359.6277,1.7839
14.5447,11.3925,30.2165,0.3360,1.9392
14.6653,11.3866,30.4315,0.2915,1.7895
14.7872,11.4042,30.6496,0.0226,1.8044
14.9066,11.4239,30.8822,359.7971,1.9620
15.3194,11.4468,31.6237,0.4086,1.7983
15.4474,11.4226,31.8777,0.1861,1.9956
15.5656,11.3873,32.0723,359.6048,1.6728
15.6886,11.4267,32.3113,359.2947,1.9709
15.8100,11.4499,32.4906,359.2808,1.5358
16.1829,11.4592,33.1304,357.4571,1.7231
16.3136,11.4320,33.3232,357.3840,1.5369
16.4350,11.4238,33.5545,356.9855,1.9122
16.5574,11.4171,33.8001,356.5837,2.0106
16.6791,11.4018,34.0437,355.7173,2.0353
17.0527,11.3431,34.7553,355.8806,1.9111
17.1868,11.2753,35.0078,354.7315,1.9549
17.3128,11.2295,35.1585,2.6830,1.2837
17.4336,11.2073,35.3170,9.5458,1.3258
17.5560,11.2327,35.5185,11.1649,1.6601
17.8893,11.3266,36.1432,12.5757,1.8954
18.0237,11.4354,36.3911,12.6712,2.0226
18.1457,11.5021,36.6215,12.8912,1.9704
18.2704,11.5630,36.8328,13.0265,1.7728
18.3953,11.5990,37.0032,13.1114,1.3947
18.8068,11.6105,37.0267,13.2181,0.0663
18.9323,11.6106,37.0274,13.2187,0.0061
19.0584,11.6108,37.0282,13.2116,0.0063
19.1833,11.6111,37.0292,13.2104,0.0086
19.3074,11.6113,37.0300,13.2115,0.0066
19.6407,11.6119,37.0320,13.2102,0.0064
19.7647,11.6121,37.0328,13.2050,0.0065
19.8874,11.6123,37.0335,13.2059,0.0059
20.0102,11.6126,37.0341,13.2047,0.0059
20.1334,11.6128,37.0349,13.1993,0.0064
20.5517,11.6131,37.0366,13.1842,0.0041
20.6753,11.6130,37.0362,13.1856,0.0031
20.7977,11.6129,37.0359,13.1866,0.0027
20.9206,11.6128,37.0356,13.1872,0.0024
21.0422,11.6128,37.0354,13.1877,0.0016
21.4168,11.6127,37.0350,13.1891,0.0011
21.5447,11.6127,37.0349,13.1898,0.0008
21.6701,11.6126,37.0348,13.1895,0.0007
21.7924,11.6126,37.0348,13.1895,0.0006
21.9158,11.6203,37.0386,13.1094,0.0723
22.2492,11.6247,37.0437,13.1969,0.0209
22.3753,11.6822,37.1294,15.9579,0.8417
22.5001,11.7470,37.1706,29.5401,0.6272
22.6220,11.7506,37.1693,31.4795,0.0411
22.7447,11.7506,37.1693,31.4302,0.0003
23.1595,11.7505,37.1693,31.3774,0.0002
23.2836,11.7363,37.1210,37.4505,0.4056
23.4063,11.7399,37.1165,38.3540,0.0670
23.5303,11.7392,37.1166,38.3456,0.0074
23.6537,11.7388,37.1162,38.3457,0.0048
24.0283,11.7378,37.1149,38.3461,0.0044
24.1521,11.7375,37.1146,38.3462,0.0036
24.2757,11.7372,37.1142,38.3465,0.0037
24.3997,11.7370,37.1139,38.3469,0.0037
24.5246,11.7368,37.1136,38.3473,0.0025
24.8999,11.7362,37.1129,38.3477,0.0025
25.0245,11.7360,37.1127,38.3475,0.0023
25.1491,11.7357,37.1123,38.3521,0.0034
25.2728,11.7353,37.1118,38.3530,0.0053
25.3974,11.7349,37.1113,38.3527,0.0050
25.7719,11.7334,37.1093,38.3530,0.0067
25.8966,11.7329,37.1087,38.3533,0.0067
26.0269,11.7323,37.1079,38.3548,0.0080
26.1513,11.7317,37.1071,38.3539,0.0076
26.2739,11.7311,37.1063,38.3536,0.0086
26.6487,11.7288,37.1034,38.3553,0.0100
26.7691,11.8100,37.2261,38.1365,1.2358
26.8925,11.9286,37.3857,38.0284,1.6343
27.0159,12.0670,37.5395,37.7111,1.6832
27.1393,12.1666,37.6740,38.5086,1.4004
27.5135,12.5132,38.1418,38.3846,1.5669
27.6147,12.6395,38.2767,38.2801,1.8271
27.7379,12.7798,38.4277,37.8366,1.7414
27.8616,12.9491,38.6166,37.9108,2.0642
27.9838,13.0734,38.8103,37.8461,1.8886
28.3985,13.5607,39.3190,37.4146,1.6994
28.4995,13.6127,39.4450,37.6490,1.3726
28.6219,13.6146,39.4887,37.3806,0.3651
28.7445,13.6167,39.4821,37.4606,0.0704
28.8672,13.6176,39.4795,37.4642,0.0291
29.2533,13.6194,39.4824,37.4671,0.0090
29.3892,13.6201,39.4835,37.4660,0.0100
29.5116,13.6208,39.4845,37.4643,0.0097
