time,x,z,rotY,speed
0.0000,11.4920,20.0358,269.7029,0.0000
0.1208,11.4920,20.0361,269.7029,0.0023
0.2507,11.4920,20.0364,269.7030,0.0022
0.3801,11.4920,20.0367,269.7029,0.0027
0.5079,11.4920,20.0370,269.7030,0.0024
0.6426,11.4920,20.0374,269.7030,0.0028
0.7722,11.4919,20.0377,269.7030,0.0026
0.8982,11.4919,20.0381,269.7030,0.0032
1.0262,11.4919,20.0385,269.7030,0.0028
1.1543,11.4918,20.0387,269.7029,0.0024
1.2821,11.4918,20.0387,269.7029,0.0001
1.4124,11.4918,20.0387,269.7029,0.0001
1.5395,11.4918,20.0387,269.7029,0.0000
1.8728,11.4918,20.0387,269.7029,0.0001
1.9796,11.4918,20.0387,269.7028,0.0001
2.1082,11.4918,20.0387,269.7028,0.0001
2.2328,11.4918,20.0387,269.7029,0.0000
2.3591,11.4918,20.0387,269.7029,0.0001
2.6925,11.4918,20.0386,269.7029,0.0001
2.7981,11.4918,20.0386,269.7029,0.0001
2.9254,11.4918,20.0386,269.7029,0.0001
3.0527,11.4918,20.0386,269.7029,0.0001
3.1793,11.4918,20.0386,269.7029,0.0001
3.5126,11.4918,20.0386,269.7029,0.0001
3.6352,11.4918,20.0386,269.7029,0.0001
3.7697,11.4918,20.0385,269.7029,0.0001
3.8953,11.4918,20.0385,269.7029,0.0001
4.3133,11.4918,20.0385,269.7029,0.0001
4.4482,11.4918,20.0385,269.7029,0.0001
4.5759,11.4918,20.0567,269.7041,0.1428
4.7066,11.4905,20.0787,269.6971,0.1686
5.1242,11.4904,20.1558,269.6568,0.1848
5.2460,11.4903,20.1973,269.6396,0.3406
5.3791,11.4893,20.2484,269.6323,0.3894
5.5080,11.4892,20.3135,269.6299,0.5052
5.6434,11.4886,20.3902,269.6335,0.5665
5.9768,11.4868,20.5770,269.6619,0.5605
6.0866,11.4867,20.6573,269.6722,0.7360
6.2168,11.4862,20.7607,269.6284,0.7935
6.3520,11.4854,20.8483,269.6303,0.6484
6.4976,11.4846,20.9933,269.6098,0.9956
6.8672,11.4815,21.3292,269.6027,0.9094
6.9695,11.4818,21.4441,269.6169,1.1241
7.0961,11.4797,21.6167,269.5816,1.3646
7.2267,11.4793,21.7693,269.5769,1.1686
7.6472,11.4767,22.3820,269.5685,1.4573
7.7845,11.4744,22.5871,269.5589,1.4940
7.9162,11.4729,22.7930,269.5765,1.5621
8.0432,11.4722,22.9691,269.5857,1.3872
8.4609,11.4688,23.5868,269.6426,1.4788
8.5665,11.4681,23.7519,269.6293,1.5638
8.6925,11.4672,23.9516,269.6420,1.5848
8.8263,11.4661,24.1843,269.6340,1.7390
8.9553,11.4650,24.3861,269.6488,1.5653
9.2886,11.4623,24.9518,269.6374,1.6969
9.4237,11.4610,25.2095,269.6286,1.9081
9.5535,11.4594,25.4328,269.5918,1.7202
9.6778,11.4575,25.6959,269.6041,2.1160
10.0532,11.4539,26.3749,269.6141,1.8090
10.1883,11.4525,26.6387,269.6071,1.9536
10.3167,11.4499,26.9029,269.6145,2.0572
10.4473,11.4500,27.1299,269.6136,1.7381
10.8646,11.4446,27.9206,269.5886,1.8950
10.9917,11.4430,28.1469,269.5977,1.7806
11.1202,11.4412,28.4108,269.6112,2.0528
11.2439,11.4340,28.6312,269.8288,1.7838
11.6604,11.4243,29.4080,269.4404,1.8651
11.7796,11.4119,29.6246,269.4507,1.8293
11.9080,11.4040,29.8438,269.0757,1.7114
12.0365,11.4124,30.1133,269.0091,2.0986
12.1608,11.3899,30.2938,269.6158,1.4818
12.4940,11.4178,30.8518,269.0676,1.6771
12.6214,11.3820,31.0950,269.1046,1.9323
12.7496,11.3696,31.3167,269.0823,1.7321
12.8765,11.4099,31.5389,268.8470,1.7818
13.2974,11.3887,32.2402,269.2815,1.6673
13.4108,11.3954,32.3849,269.3166,1.3301
13.5370,11.4174,32.5888,269.3547,1.6348
13.6650,11.3975,32.8071,270.4172,1.7133
13.7949,11.4042,32.9927,270.0197,1.4329
14.1282,11.4130,33.4978,269.6585,1.5363
14.2523,11.4260,33.7161,269.3162,1.7622
14.3823,11.4165,33.9799,269.3368,2.0506
14.5097,11.4269,34.1907,269.6366,1.6600
14.9279,11.3993,34.8703,268.9180,1.6266
15.0493,11.3416,35.0960,268.1804,1.9834
15.1792,11.3395,35.3145,267.2969,1.6812
15.3088,11.3098,35.5042,267.2371,1.4827
15.4370,11.2856,35.7427,267.5372,1.8701
15.7703,11.3274,36.2799,266.9448,1.6203
15.9124,11.3636,36.3960,266.8728,0.8939
16.0430,11.3596,36.3930,266.8614,0.0494
16.1721,11.3596,36.3930,266.8611,0.0005
16.5450,11.3596,36.3929,266.8610,0.0003
16.6758,11.3596,36.3928,266.8608,0.0001
16.8049,11.3596,36.3928,266.8608,0.0001
16.9326,11.3596,36.3928,266.8609,0.0001
17.3508,11.3596,36.3928,266.8608,0.0000
17.4644,11.3596,36.3928,266.8607,0.0000
17.5947,11.3596,36.3928,266.8607,0.0000
17.7246,11.3596,36.3928,266.8608,0.0000
18.1448,11.3596,36.3928,266.8608,0.0000
18.2466,11.3596,36.3928,266.8607,0.0000
18.3751,11.3596,36.3928,266.8607,0.0000
18.5046,11.3596,36.3928,266.8607,0.0000
18.9230,11.3596,36.3928,266.8607,0.0000
19.0652,11.3596,36.3928,266.8607,0.0000
19.1974,11.3596,36.3928,266.8607,0.0000
19.3252,11.3563,36.4152,267.1266,0.1782
19.7442,11.3741,36.9707,285.5790,1.3277
19.8586,11.3831,37.0391,288.2612,0.6087
19.9908,11.3830,37.0391,288.2601,0.0007
20.1214,11.3830,37.0392,288.2605,0.0008
20.5245,11.3831,37.0394,288.2599,0.0007
20.6657,11.3831,37.0395,288.2599,0.0006
20.7944,11.3831,37.0396,288.2598,0.0006
20.9232,11.3831,37.0396,288.2596,0.0005
21.3009,11.3831,37.0397,288.2595,0.0002
21.4017,11.3831,37.0397,288.2595,0.0002
21.5324,11.3832,37.0398,288.2595,0.0002
21.6638,11.3832,37.0398,288.2599,0.0000
22.0833,11.3832,37.0398,288.2597,0.0001
22.2118,11.3832,37.0398,288.2596,0.0000
22.3446,11.3832,37.0398,288.2600,0.0002
22.4756,11.3832,37.0398,288.2599,0.0000
22.8974,11.3831,37.0398,288.2596,0.0000
23.0086,11.4214,37.1534,288.4553,1.0831
23.1388,11.4995,37.3569,288.5691,1.6747
23.2694,11.5522,37.5414,288.8473,1.4877
23.6919,11.7575,38.1342,289.3463,1.4957
23.8233,11.7833,38.2260,289.3981,0.7277
23.9582,11.7759,38.2517,289.7029,0.2065
24.0888,11.7814,38.2485,289.6189,0.0728
24.5095,11.7829,38.2504,289.6017,0.0062
24.6279,11.7832,38.2512,289.6014,0.0067
24.7609,11.7834,38.2520,289.6044,0.0063
24.8920,11.7835,38.2524,289.6040,0.0029
25.3143,11.7838,38.2520,289.6053,0.0012
25.4205,11.7837,38.2521,289.6023,0.0005
