time,x,z,rotY,speed
0.0000,11.4923,20.0372,269.7120,0.0000
0.1187,11.4923,20.0371,269.7123,0.0010
0.2447,11.4923,20.0372,269.7124,0.0013
0.3672,11.4923,20.0374,269.7123,0.0016
0.4908,11.4923,20.0376,269.7123,0.0014
0.6135,11.4923,20.0378,269.7123,0.0014
0.7426,11.4922,20.0379,269.7123,0.0013
0.8636,11.4922,20.0381,269.7123,0.0014
0.9856,11.4922,20.0395,269.7125,0.0115
1.1072,11.4919,20.0480,269.7134,0.0699
1.2282,11.4919,20.0581,269.7096,0.0836
1.3486,11.4907,20.0800,269.7022,0.1825
1.4700,11.4915,20.1025,269.6919,0.1848
1.5912,11.4910,20.1247,269.6815,0.1836
1.7120,11.4897,20.1471,269.6702,0.1858
1.8334,11.4906,20.1695,269.6615,0.1850
1.9539,11.4900,20.1920,269.6443,0.1864
2.0754,11.4894,20.2086,269.6095,0.1400
2.1973,11.4895,20.2264,269.6145,0.1488
2.3181,11.4890,20.2593,269.6185,0.2729
2.4409,11.4881,20.3033,269.6222,0.3589
2.5669,11.4876,20.3691,269.6206,0.5217
2.6970,11.4870,20.4359,269.6241,0.5135
2.8182,11.4864,20.5235,269.6308,0.7233
2.9466,11.4860,20.6535,269.6382,1.0144
3.0703,11.4855,20.7670,269.6252,0.9175
3.1982,11.4853,20.8994,269.6158,1.0356
3.3261,11.4841,21.0706,269.5959,1.3379
3.4484,11.4831,21.2382,269.6007,1.3754
3.5766,11.4829,21.4233,269.6070,1.4429
3.7011,11.4822,21.6202,269.5847,1.5835
3.8274,11.4803,21.8806,269.5830,2.0626
3.9538,11.4780,22.1105,269.5563,1.8174
4.0770,11.4776,22.3397,269.5562,1.8609
4.2016,11.4753,22.5697,269.5746,1.8460
4.3253,11.4735,22.8349,269.5792,2.1443
4.4480,11.4717,23.0661,269.5871,1.8855
4.5697,11.4687,23.2952,269.5681,1.8813
4.6919,11.4684,23.5228,269.5598,1.8630
4.8142,11.4667,23.7512,269.5362,1.8671
