time,x,z,rotY,speed
0.0000,11.4919,20.0412,269.7205,0.0000
0.1328,11.4919,20.0412,269.7204,0.0000
0.2652,11.4919,20.0412,269.7205,0.0000
0.3985,11.4919,20.0412,269.7205,0.0000
0.5325,11.4919,20.0412,269.7205,0.0000
0.6644,11.4919,20.0412,269.7205,0.0000
0.7969,11.4919,20.0412,269.7204,0.0000
0.9301,11.4919,20.0412,269.7205,0.0000
1.0731,11.4919,20.0412,269.7205,0.0000
1.2077,11.4919,20.0412,269.7205,0.0000
1.3433,11.4919,20.0412,269.7205,0.0000
1.4780,11.4919,20.0412,269.7205,0.0000
1.6118,11.4919,20.0412,269.7205,0.0000
1.7451,11.4919,20.0412,269.7205,0.0000
1.8790,11.4919,20.0412,269.7205,0.0000
2.0132,11.4919,20.0412,269.7206,0.0000
2.1495,11.4919,20.0412,269.7205,0.0000
2.2845,11.4919,20.0412,269.7205,0.0000
2.4198,11.4919,20.0412,269.7205,0.0000
2.5531,11.4919,20.0412,269.7205,0.0000
2.6865,11.4919,20.0412,269.7205,0.0000
2.8208,11.4919,20.0412,269.7205,0.0000
2.9550,11.4919,20.0411,269.7191,0.0003
3.0889,11.4919,20.0412,269.7190,0.0002
3.2227,11.4919,20.0412,269.7189,0.0002
3.3567,11.4919,20.0412,269.7189,0.0001
3.4922,11.4919,20.0412,269.7188,0.0001
3.6263,11.4919,20.0412,269.7189,0.0001
3.7595,11.4919,20.0413,269.7188,0.0001
3.8929,11.4919,20.0413,269.7189,0.0001
4.0268,11.4919,20.0413,269.7189,0.0001
4.1615,11.4919,20.0413,269.7188,0.0001
4.2963,11.4919,20.0413,269.7189,0.0001
4.4297,11.4920,20.0576,269.7189,0.1225
4.5626,11.4919,20.0934,269.7188,0.2689
4.7003,11.4910,20.1451,269.7238,0.3758
4.8355,11.4920,20.2001,269.7207,0.4074
4.9739,11.4913,20.2677,269.7217,0.4911
5.1172,11.4910,20.3690,269.7008,0.7069
5.2566,11.4899,20.4967,269.7063,0.9168
5.3937,11.4888,20.6356,269.7038,1.0138
5.5273,11.4892,20.7948,269.6999,1.1923
5.6641,11.4885,20.9725,269.6951,1.2981
5.7977,11.4872,21.1371,269.7003,1.2321
5.9365,11.4870,21.3576,269.6687,1.5916
6.0739,11.4857,21.5898,269.6832,1.6892
6.2091,11.4855,21.8443,269.7220,1.8823
6.3454,11.4838,22.1098,269.7201,1.9488
6.4781,11.4828,22.3354,269.6992,1.7001
6.6128,11.4823,22.6000,269.7166,1.9644
6.7455,11.4816,22.8626,269.7097,1.9789
6.8794,11.4811,23.1175,269.7083,1.9035
7.0125,11.4789,23.2114,269.6586,0.7066
7.1441,11.4788,23.2122,269.6497,0.0059
7.2756,11.4788,23.2122,269.6496,0.0002
7.4084,11.4788,23.2122,269.6496,0.0002
7.5418,11.4788,23.2123,269.6497,0.0003
7.6750,11.4788,23.2123,269.6496,0.0002
7.8079,11.4788,23.2123,269.6496,0.0003
7.9392,11.4788,23.2124,269.6495,0.0003
8.0714,11.4788,23.2124,269.6494,0.0003
8.2037,11.4788,23.2125,269.6495,0.0003
8.3347,11.4788,23.2125,269.6495,0.0003
8.4653,11.4788,23.2126,269.6494,0.0004
8.5976,11.4788,23.2126,269.6495,0.0003
8.7302,11.4788,23.2127,269.6494,0.0004
8.8652,11.4788,23.2127,269.6494,0.0004
9.0020,11.4788,23.2128,269.6493,0.0004
9.1378,11.4790,23.2198,269.6426,0.0518
9.2704,11.4772,23.3954,269.7093,1.3261
9.4034,11.4756,23.6638,269.6760,2.0166
9.5355,11.4756,23.8937,269.6972,1.7413
9.6735,11.4734,24.1621,269.7224,1.9447
9.8166,11.4721,24.4299,269.6975,1.8705
9.9479,11.4704,24.6985,269.6892,2.0471
10.0830,11.4694,24.9670,269.6960,1.9873
10.2178,11.4698,25.1964,269.6873,1.7018
10.3494,11.4686,25.4638,269.6816,2.0318
10.4811,11.4673,25.7304,269.6619,2.0247
10.6131,11.4625,25.9571,270.0767,1.7179
10.7471,11.4468,26.1936,275.4326,1.7686
10.8836,11.4477,26.4279,284.4548,1.7164
11.0170,11.5008,26.6385,285.8694,1.6283
11.1540,11.5745,26.8941,285.8746,1.9416
11.2866,11.6474,27.1513,285.8653,2.0162
11.4179,11.7107,27.3739,285.8592,1.7630
