time,x,z,rotY,speed
0.0000,11.4918,20.0387,269.7028,0.0000
0.1307,11.4918,20.0387,269.7027,0.0001
0.2533,11.4918,20.0387,269.7027,0.0001
0.3728,11.4918,20.0386,269.7028,0.0001
0.4910,11.4918,20.0386,269.7028,0.0001
0.6095,11.4918,20.0386,269.7027,0.0001
0.9371,11.4918,20.0386,269.7027,0.0001
1.0604,11.4918,20.0386,269.7027,0.0001
1.1888,11.4918,20.0385,269.7028,0.0001
1.3161,11.4918,20.0385,269.7027,0.0001
1.4357,11.4918,20.0385,269.7028,0.0001
1.5552,11.4918,20.0385,269.7028,0.0001
1.8629,11.4918,20.0384,269.7027,0.0002
1.9836,11.4918,20.0384,269.7027,0.0002
2.1185,11.4918,20.0384,269.7027,0.0002
2.2377,11.4918,20.0384,269.7028,0.0002
2.3578,11.4918,20.0384,269.7027,0.0002
2.4770,11.4918,20.0383,269.7027,0.0002
2.7923,11.4918,20.0383,269.7027,0.0002
2.9134,11.4918,20.0594,269.7074,0.1747
3.0495,11.4913,20.0854,269.7108,0.1914
3.1712,11.4912,20.1290,269.6989,0.3577
3.2937,11.4895,20.1798,269.6968,0.4156
3.4144,11.4902,20.2364,269.6846,0.4741
3.7418,11.4888,20.4646,269.6757,0.6970
3.8705,11.4866,20.6003,269.7168,1.0541
3.9907,11.4866,20.7433,269.7053,1.1926
4.1184,11.4868,20.8900,269.6935,1.1481
4.2436,11.4851,21.0708,269.7090,1.4447
4.3639,11.4850,21.2564,269.7269,1.5467
4.6438,11.4834,21.6686,269.7752,1.4732
4.7743,11.4832,21.8816,269.7882,1.6340
4.9170,11.4811,22.1495,269.7812,1.8777
5.0416,11.4813,22.3796,269.7779,1.8468
5.1621,11.4805,22.6094,269.7644,1.9059
5.2840,11.4791,22.8772,269.7757,2.1979
5.5943,11.4775,23.4544,269.7534,1.8599
5.7215,11.4769,23.6847,269.7563,1.8107
5.8409,11.4748,23.9139,269.7344,1.9192
5.9599,11.4751,24.1444,269.7199,1.9363
6.0790,11.4759,24.3746,269.7005,1.9330
6.1980,11.4731,24.6043,269.6934,1.9304
6.5361,11.4706,25.2581,269.6884,1.9339
6.6648,11.4693,25.5245,269.6668,2.0698
6.7903,11.4667,25.7526,269.6859,1.8174
6.9096,11.4678,25.9834,269.7066,1.9351
7.0293,11.4656,26.2131,269.6927,1.9185
7.1494,11.4636,26.4432,269.6850,1.9159
7.4353,11.4625,26.9827,269.6611,1.8873
7.5610,11.4600,27.2144,269.6579,1.8437
7.6899,11.4585,27.4843,269.6400,2.0927
7.8103,11.4576,27.7154,269.6271,1.9194
7.9286,11.4564,27.9458,269.6210,1.9484
8.0486,11.4555,28.1785,269.6316,1.9391
8.3912,11.4409,28.8108,270.0565,1.8466
8.5191,11.4437,29.0409,269.7977,1.8002
8.6413,11.4441,29.2678,269.4452,1.8562
8.7607,11.4317,29.4952,269.3785,1.9082
8.8799,11.4237,29.7200,269.4773,1.8947
9.0097,11.4324,29.9929,269.1919,2.1040
9.3268,11.4279,30.5375,269.4612,1.7258
9.4555,11.4421,30.7778,269.6964,1.8745
9.5850,11.4330,31.0208,269.3974,1.8872
9.7055,11.3955,31.2725,270.4086,2.1119
9.8299,11.4431,31.4521,272.9974,1.4937
9.9518,11.4879,31.6419,279.8663,1.6004
10.2501,11.5741,32.1071,293.1331,1.5923
10.3813,11.6626,32.3180,293.5565,1.7446
10.5211,11.7467,32.5320,293.7489,1.6479
