time,x,z,rotY,speed
0.0000,11.4919,20.0382,269.7370,0.0000
0.1280,11.4919,20.0382,269.7370,0.0000
0.2603,11.4919,20.0382,269.7369,0.0000
0.3877,11.4919,20.0382,269.7369,0.0000
0.5145,11.4919,20.0382,269.7370,0.0000
0.6520,11.4919,20.0382,269.7370,0.0000
0.7821,11.4919,20.0382,269.7370,0.0000
0.9116,11.4919,20.0382,269.7370,0.0000
1.0454,11.4919,20.0382,269.7370,0.0000
1.4209,11.4919,20.0382,269.7370,0.0000
1.5441,11.4919,20.0382,269.7370,0.0000
1.6723,11.4919,20.0382,269.7369,0.0000
1.8108,11.4919,20.0382,269.7370,0.0000
1.9504,11.4919,20.0382,269.7370,0.0000
2.2313,11.4919,20.0382,269.7370,0.0000
2.3500,11.4919,20.0382,269.7370,0.0000
2.4915,11.4919,20.0382,269.7370,0.0000
2.6185,11.4919,20.0382,269.7370,0.0000
3.0373,11.4919,20.0382,269.7370,0.0000
3.1670,11.4919,20.0382,269.7370,0.0000
3.2944,11.4919,20.0382,269.7370,0.0000
3.4215,11.4919,20.0382,269.7370,0.0000
3.5486,11.4919,20.0382,269.7370,0.0000
3.8819,11.4919,20.0382,269.7370,0.0000
3.9840,11.4919,20.0382,269.7370,0.0000
4.1120,11.4919,20.0382,269.7370,0.0000
4.2396,11.4918,20.0398,269.7345,0.0123
4.3651,11.4917,20.0638,269.7243,0.1918
4.6985,11.4906,20.1213,269.6700,0.1724
4.8316,11.4905,20.1708,269.6435,0.3715
4.9659,11.4897,20.2350,269.5887,0.4827
5.0961,11.4885,20.3113,269.5627,0.5862
5.5174,11.4866,20.6859,269.5602,0.8894
5.6553,11.4838,20.8411,269.5349,1.1264
5.7898,11.4836,21.0175,269.5217,1.3109
5.9220,11.4829,21.1927,269.5284,1.3278
6.3436,11.4784,21.8733,269.5576,1.6145
6.4487,11.4781,22.0710,269.5555,1.8807
6.5717,11.4757,22.2666,269.5686,1.5908
6.6994,11.4751,22.4632,269.5421,1.5399
6.8281,11.4734,22.6934,269.5697,1.7880
7.2026,11.4690,23.2830,269.5622,1.5743
7.3443,11.4671,23.5356,269.5729,1.7828
7.4749,11.4658,23.7934,269.5591,1.9743
7.6013,11.4643,24.0152,269.5284,1.7548
7.9765,11.4594,24.7165,269.5105,1.8692
8.1178,11.4567,24.9744,269.4843,1.8258
8.2449,11.4536,25.2329,269.4780,2.0332
8.3722,11.4529,25.4557,269.4805,1.7503
8.7900,11.4464,26.2314,269.4650,1.8566
8.9095,11.4432,26.4518,269.5335,1.8452
9.0354,11.4439,26.6725,269.5242,1.7531
9.1620,11.4405,26.8939,269.5597,1.7490
9.2847,11.4397,27.1151,269.5542,1.8027
9.6180,11.4358,27.7426,269.5433,1.8826
9.7310,11.4343,27.9640,269.5328,1.9594
9.8565,11.4322,28.1853,269.5643,1.7644
9.9881,11.4290,28.4429,269.6005,1.9570
10.4043,11.4229,29.1709,269.5262,1.7492
10.5407,11.4135,29.4274,269.2680,1.8825
10.6662,11.4004,29.6770,269.3227,2.0001
10.7918,11.3992,29.8916,268.8300,1.7103
10.9187,11.4022,30.1060,268.8644,1.6916
11.2520,11.3858,30.1571,269.4413,0.1622
