time,x,z,rotY,speed
0.0000,11.4892,20.0429,270.0206,0.0000
0.1341,11.4892,20.0429,270.0207,0.0000
0.2529,11.4892,20.0429,270.0206,0.0000
0.3836,11.4892,20.0429,270.0207,0.0000
0.5183,11.4892,20.0429,270.0206,0.0000
0.6977,11.4892,20.0429,270.0207,0.0000
0.8290,11.4892,20.0429,270.0207,0.0000
0.9691,11.4892,20.0429,270.0206,0.0000
1.1049,11.4892,20.0429,270.0207,0.0000
1.2064,11.4892,20.0429,270.0207,0.0000
1.3411,11.4892,20.0429,270.0206,0.0000
1.4777,11.4892,20.0429,270.0206,0.0000
1.6079,11.4892,20.0429,270.0207,0.0000
1.7387,11.4892,20.0429,270.0206,0.0000
1.8723,11.4892,20.0429,270.0206,0.0000
2.0072,11.4892,20.0429,270.0206,0.0000
2.1498,11.4892,20.0429,270.0206,0.0000
2.2852,11.4892,20.0429,270.0206,0.0000
2.4198,11.4892,20.0429,270.0206,0.0000
2.5536,11.4892,20.0429,270.0207,0.0000
2.6871,11.4892,20.0429,270.0206,0.0000
2.8202,11.4892,20.0429,270.0207,0.0000
2.9685,11.4892,20.0429,270.0206,0.0000
3.1036,11.4892,20.0429,270.0207,0.0000
3.2378,11.4892,20.0429,270.0207,0.0000
3.3725,11.4892,20.0429,270.0206,0.0000
3.4912,11.4892,20.0429,270.0206,0.0000
3.6246,11.4892,20.0429,270.0206,0.0000
3.7597,11.4892,20.0429,270.0206,0.0000
3.9194,11.4892,20.0429,270.0206,0.0000
4.0497,11.4892,20.0429,270.0207,0.0000
4.1841,11.4892,20.0429,270.0206,0.0000
4.3498,11.4892,20.0429,270.0207,0.0000
4.4807,11.4892,20.0429,270.0206,0.0000
4.6155,11.4896,20.0490,270.0237,0.0457
4.7503,11.4898,20.0743,270.0129,0.1875
4.8693,11.4897,20.1046,269.9973,0.2550
5.0039,11.4894,20.1467,269.9804,0.3123
5.1435,11.4901,20.2136,269.9373,0.4810
5.2507,11.4894,20.2807,269.9339,0.6273
5.3935,11.4895,20.3853,269.9432,0.7333
5.5320,11.4886,20.5086,269.9532,0.8894
5.6673,11.4884,20.6412,269.9729,0.9831
5.7680,11.4893,20.7675,269.9746,1.2543
5.9038,11.4888,20.9534,269.9793,1.3677
6.0489,11.4900,21.2101,269.9171,1.7709
6.1905,11.4908,21.4589,269.8636,1.7576
6.3294,11.4904,21.7041,269.8697,1.7679
6.4638,11.4902,21.9184,269.8915,1.5940
6.5969,11.4898,22.1694,269.8842,1.8862
6.7058,11.4904,22.3501,269.9112,1.6589
6.8394,11.4895,22.6014,269.9050,1.8802
6.9733,11.4902,22.8531,269.8784,1.8804
7.1047,11.4902,23.0701,269.8604,1.6512
7.2395,11.4894,23.3199,269.8546,1.8537
7.3733,11.4876,23.5716,269.8331,1.8807
7.5072,11.4878,23.7868,269.8054,1.6074
7.6162,11.4868,24.0022,269.7496,1.9766
7.7508,11.4869,24.2550,269.7758,1.8775
7.8869,11.4852,24.4720,269.7554,1.5942
8.0641,11.4852,24.7979,269.7672,1.8392
8.1950,11.4831,25.0513,269.7507,1.9368
8.3262,11.4823,25.2665,269.7324,1.6400
8.4574,11.4821,25.5175,269.6866,1.9124
8.5694,11.4808,25.7354,269.6786,1.9464
8.7003,11.4806,25.9511,269.6758,1.6476
8.8308,11.4789,26.1273,269.6069,1.3517
8.9653,11.4789,26.1340,269.5996,0.0496
9.1009,11.4789,26.1340,269.5996,0.0005
9.2318,11.4789,26.1341,269.5995,0.0005
9.3639,11.4789,26.1341,269.5996,0.0004
9.5049,11.4789,26.1342,269.5996,0.0005
9.6414,11.4792,26.1704,269.5785,0.2673
9.7753,11.4765,26.3825,269.5056,1.5842
9.9130,11.4747,26.6386,269.4863,1.8598
10.0466,11.4717,26.8569,269.4841,1.6334
10.1830,11.4696,27.1150,269.4626,1.8932
10.3550,11.4665,27.4460,269.4929,1.9248
