time,x,z,rotY,speed
0.0000,11.4918,20.0384,269.7094,0.0000
0.1133,11.4918,20.0384,269.7094,0.0000
0.2344,11.4918,20.0384,269.7094,0.0000
0.3594,11.4918,20.0384,269.7094,0.0000
0.4813,11.4918,20.0384,269.7094,0.0000
0.6104,11.4918,20.0384,269.7095,0.0000
0.9026,11.4918,20.0384,269.7094,0.0000
1.0190,11.4918,20.0384,269.7094,0.0000
1.1402,11.4918,20.0384,269.7094,0.0000
1.2694,11.4918,20.0384,269.7095,0.0000
1.3984,11.4918,20.0384,269.7094,0.0000
1.5187,11.4918,20.0384,269.7094,0.0000
1.7913,11.4918,20.0384,269.7094,0.0000
1.9219,11.4918,20.0384,269.7094,0.0000
2.0442,11.4918,20.0384,269.7095,0.0000
2.1653,11.4919,20.0540,269.7202,0.1288
2.2866,11.4914,20.0767,269.7192,0.1867
2.4083,11.4916,20.0990,269.7172,0.1832
2.5298,11.4903,20.1425,269.7179,0.3583
2.6553,11.4907,20.1927,269.7003,0.4005
2.7770,11.4900,20.2490,269.7034,0.4686
2.9015,11.4897,20.3438,269.6998,0.7615
3.0226,11.4894,20.4380,269.6923,0.7781
3.1500,11.4889,20.5512,269.6884,0.8885
3.2750,11.4876,20.6847,269.7026,1.0714
3.4067,11.4873,20.8475,269.6952,1.2350
3.5316,11.4870,21.0031,269.6911,1.2459
3.6532,11.4854,21.1868,269.6549,1.5120
3.7771,11.4848,21.3799,269.5135,1.5592
3.9007,11.4857,21.6117,269.5814,1.8765
4.0228,11.4828,21.8317,269.5951,1.8015
4.1521,11.4795,22.0613,269.6082,1.7766
4.2717,11.4801,22.2874,269.5955,1.8909
4.5786,11.4759,22.8584,269.6233,1.8604
4.7066,11.4738,23.1283,269.5984,2.1087
4.8259,11.4732,23.3583,269.5768,1.9280
4.9479,11.4714,23.5914,269.5548,1.9105
5.0665,11.4690,23.8192,269.5463,1.9214
5.4394,11.4642,24.5129,269.5214,1.8601
5.5692,11.4628,24.7843,269.5544,2.0912
5.6864,11.4610,25.0130,269.5260,1.9511
5.8063,11.4597,25.2433,269.5116,1.9217
5.9268,11.4578,25.4748,269.4861,1.9211
6.3391,11.4514,26.2390,269.4144,1.8536
6.4677,11.4499,26.5089,269.4212,2.0982
6.5872,11.4471,26.7410,269.4235,1.9430
6.7062,11.4444,26.9712,269.4253,1.9335
6.8246,11.4423,27.2024,269.4346,1.9526
7.2371,11.4373,27.9752,269.4198,1.8736
7.3656,11.4330,28.2458,269.4146,2.1067
7.4863,11.4292,28.4769,269.4311,1.9150
7.6041,11.4197,28.6993,269.7128,1.8898
7.7243,11.4171,28.9233,269.7948,1.8651
8.1384,11.3976,29.6765,269.4824,1.8207
8.2676,11.4003,29.9404,268.9400,2.0428
8.3881,11.3963,30.1635,269.3245,1.8526
8.5069,11.3804,30.3610,269.4983,1.6780
8.6288,11.3906,30.5970,269.2776,1.9440
9.0032,11.3638,31.3410,269.5574,1.9886
9.1306,11.4044,31.5536,269.0897,1.6994
9.2504,11.4022,31.7744,268.6519,1.8445
9.3709,11.3525,31.9728,268.6082,1.6976
9.4921,11.3640,32.2101,268.4339,1.9647
9.8655,11.3650,32.8856,269.7318,1.8221
9.9973,11.4141,33.0572,268.4344,1.3594
10.1229,11.4327,33.2681,269.7138,1.7109
10.2468,11.4444,33.4709,274.9092,1.6416
10.3690,11.4767,33.6927,282.0464,1.8352
10.7430,11.6202,34.3489,282.0631,1.7962
10.8773,11.6722,34.5596,281.4293,1.6298
10.9991,11.7024,34.8036,281.0494,2.0295
11.1201,11.7311,35.0173,280.3094,1.7834
11.2419,11.7457,35.2973,280.4595,2.3022
11.6157,11.9374,36.0140,279.3444,1.9918
11.7453,11.9546,36.2811,278.9160,2.0764
11.8672,11.9998,36.4598,278.3936,1.5187
11.9885,12.0385,36.6414,278.7168,1.5346
12.1100,12.0916,36.8008,278.6651,1.4012
12.4844,12.1963,37.4879,290.2720,1.8566
12.6221,12.2204,37.6461,295.3464,1.2504
12.7452,12.3112,37.8282,295.6761,1.6629
12.8688,12.4091,38.0260,295.6078,1.7878
12.9909,12.4893,38.2425,296.3053,1.8902
13.3590,12.7527,38.6471,296.7870,1.4221
13.4960,12.8436,38.8507,296.4491,1.6319
13.6188,12.8973,39.0692,296.7264,1.8443
