time,x,z,rotY,speed
0.0000,11.4919,20.0409,269.7204,0.0000
0.3333,11.4919,20.0409,269.7203,0.0001
0.4606,11.4919,20.0409,269.7203,0.0000
0.5777,11.4919,20.0409,269.7203,0.0000
0.7022,11.4919,20.0409,269.7203,0.0000
0.8229,11.4919,20.0409,269.7204,0.0000
1.2269,11.4919,20.0409,269.7204,0.0000
1.3485,11.4919,20.0409,269.7205,0.0000
1.4692,11.4919,20.0409,269.7204,0.0000
1.5877,11.4919,20.0409,269.7204,0.0000
1.7073,11.4919,20.0409,269.7204,0.0000
2.1194,11.4919,20.0409,269.7203,0.0000
2.2386,11.4919,20.0409,269.7204,0.0000
2.3591,11.4917,20.0435,269.7202,0.0218
2.4779,11.4920,20.0648,269.7233,0.1789
2.5983,11.4914,20.0870,269.7271,0.1846
3.0123,11.4903,20.2318,269.7155,0.3503
3.1509,11.4896,20.3005,269.7109,0.4964
3.2738,11.4890,20.4038,269.7205,0.8403
3.3943,11.4875,20.5134,269.7152,0.9101
3.5176,11.4869,20.6440,269.7606,1.0605
3.8920,11.4853,21.0486,269.7667,1.0808
4.0306,11.4852,21.2405,269.7314,1.3872
4.1529,11.4850,21.4585,269.7610,1.7829
4.2731,11.4832,21.6609,269.7576,1.6858
4.3962,11.4840,21.8851,269.7532,1.8215
4.8089,11.4799,22.6489,269.7839,1.8506
4.9379,11.4802,22.9131,269.7771,2.0477
5.0580,11.4799,23.1403,269.7906,1.8924
5.1753,11.4789,23.3696,269.7839,1.9552
5.2936,11.4777,23.5971,269.7943,1.9233
5.7056,11.4747,24.3590,269.7908,1.8491
5.8338,11.4742,24.6246,269.7798,2.0714
5.9517,11.4735,24.8158,269.7736,1.6222
6.0689,11.4727,25.0443,269.7772,1.9499
6.1864,11.4725,25.2684,269.7751,1.9078
6.5595,11.4704,25.9857,269.7870,1.9225
6.6893,11.4692,26.1949,269.7818,1.6117
6.8085,11.4683,26.4044,269.7710,1.7571
